iter	MAE	RMSE
83	0.7090815013	1.035494474
84	0.7083512204	1.035119964
85	0.7073188455	1.034496548
86	0.7037262862	1.032702052
87	0.6980866639	1.030118262
88	0.6970741481	1.029723429
89	0.6962357882	1.029528908
90	0.6954990722	1.029233889
91	0.6902680308	1.026700668
92	0.6899660788	1.026563561
93	0.6857746447	1.024413602
94	0.6846671096	1.023767356
95	0.6843581637	1.023626461
96	0.6838414102	1.023276385
97	0.683627222	1.023148285
98	0.6836542524	1.023122597
99	0.681543781	1.022160146
100	0.681089676	1.022001005
101	0.6766905357	1.019596669
102	0.676673629	1.019594137
103	0.6759722916	1.019249407
104	0.6754549859	1.018842453
105	0.6720211687	1.017523457
106	0.6713136376	1.017140882
107	0.6708957355	1.016989825
108	0.6699449404	1.01673314
109	0.6696722033	1.0165521
110	0.6695459268	1.016320887
111	0.6693972186	1.016235324
112	0.6694006729	1.016128786
113	0.6687790728	1.015637531
114	0.6685695522	1.015340176
115	0.6684316294	1.01525238
116	0.668134454	1.014999392
117	0.6679156604	1.014749654
118	0.6679156604	1.014749654
119	0.6679253205	1.014735672
120	0.6679253205	1.014735672
121	0.6659026434	1.013954718
122	0.6658046944	1.01388726
123	0.6630468676	1.012166546
124	0.6630468677	1.012166546
125	0.6630497027	1.01214774
126	0.6630155064	1.012023758
127	0.6630191746	1.012015873
128	0.663071998	1.011947072
129	0.6629796312	1.011830739
130	0.6625092782	1.011414653
131	0.6622367677	1.011200157
132	0.6622295639	1.011183283
133	0.6621029853	1.010707495
134	0.6620797435	1.010457203
135	0.6620797435	1.010457203
136	0.662060115	1.010292238
137	0.6620607255	1.010260646
138	0.6620782718	1.010209609
139	0.6620782718	1.010209609
140	0.6620781455	1.010209548
141	0.6620781455	1.010209548
142	0.6620781455	1.010209548
143	0.6620740729	1.010207392
144	0.6620996863	1.009821688
145	0.6620991934	1.009821295
146	0.6620859827	1.009795661
147	0.6621160886	1.00973054
148	0.6618955281	1.009542353
149	0.6618937655	1.009536553
150	0.661915859	1.009504324
151	0.6600277995	1.008437548
152	0.660134409	1.008319953
153	0.6601333742	1.008313414
154	0.66013267	1.008312858
155	0.6602231852	1.008229382
156	0.6601950973	1.00802715
157	0.6600383798	1.007650619
158	0.660007077	1.007445517
159	0.6601134989	1.007383066
160	0.6601212684	1.0073826
161	0.6601105135	1.007206281
162	0.6600961938	1.007103675
163	0.6600571945	1.006809453
164	0.660046445	1.006575591
165	0.6600548453	1.00650734
166	0.6580677933	1.004847483
167	0.6580195679	1.004591223
168	0.6580551188	1.004556444
169	0.6581078547	1.004396976
170	0.6580991989	1.004338402
171	0.6582157483	1.004317675
172	0.6582218082	1.004185063
173	0.6582260953	1.00400707
174	0.6580186301	1.003690451
175	0.6580191697	1.003690398
176	0.6577084055	1.00352497
177	0.657779655	1.003380571
178	0.6577796046	1.003380558
179	0.6578645865	1.003360591
180	0.6578645865	1.003360591
181	0.6578645865	1.003360591
182	0.6573462452	1.002856461
183	0.657083014	1.002328353
184	0.6566867817	1.001967319
185	0.6566867817	1.001967319
186	0.6564242671	1.001746189
187	0.6563977835	1.001700274
188	0.6564236061	1.001690438
189	0.6564235477	1.001690419
190	0.6564235476	1.001690419
191	0.6564235476	1.001690419
192	0.6564251188	1.001673915
193	0.6564799376	1.001646677
194	0.6563785043	1.00156368
195	0.656346372	1.001335059
196	0.656346372	1.001335059
197	0.6565542673	1.001272233
198	0.6565502613	1.001268671
199	0.6565502613	1.001268671
200	0.6562017174	1.000928569
201	0.6561870502	1.000922359
202	0.6561801218	1.000907484
203	0.6560689205	1.000723156
204	0.6560412964	1.000713849
205	0.6559292852	1.00057424
206	0.6559591281	1.000552396
207	0.6549521794	0.9998747272
208	0.6548716634	0.999822935
209	0.6548839783	0.9998140019
210	0.6549793302	0.9996647135
211	0.6549793302	0.9996647135
212	0.6549833395	0.9996646574
213	0.6550477419	0.9996482504
214	0.6548930476	0.9995103195
215	0.6546234619	0.9989426559
216	0.654495172	0.9988016731
217	0.6544383358	0.9986226395
218	0.6544142591	0.9986020965
219	0.6544142591	0.9986020965
220	0.6544121086	0.9985705502
221	0.6543736932	0.9985120354
222	0.6543994003	0.9984629299
223	0.6544421695	0.9984393861
224	0.6544772054	0.9983813609
225	0.6518870252	0.9969916813
226	0.6518870252	0.9969916813
227	0.6518866648	0.9969914577
228	0.6503762792	0.9957319499
229	0.6502371978	0.9956328809
230	0.650318646	0.995478405
231	0.6502089937	0.9952345507
232	0.6497635143	0.9948873673
233	0.6496833899	0.9947847199
234	0.649680073	0.9947823183
235	0.6468273024	0.9930515211
236	0.6467922099	0.9929906146
237	0.6466859642	0.9925151216
238	0.6466767786	0.9924918224
239	0.6466448964	0.9923498419
240	0.6466447123	0.9923498217
241	0.6463866366	0.9922310333
242	0.6463866366	0.9922310333
243	0.6464675837	0.9921974942
244	0.6464681748	0.9921936676
245	0.6464245022	0.9921664205
246	0.6463511569	0.9920745106
247	0.6463511569	0.9920745106
248	0.6463810084	0.9920492528
249	0.6464021386	0.9919290572
250	0.6462702527	0.9917036937
251	0.6462702527	0.9917036937
252	0.646247872	0.9916381317
253	0.6447072837	0.9906991359
254	0.6447072513	0.9906989329
255	0.6446033655	0.9905921722
256	0.644602951	0.9905913117
257	0.644602951	0.9905913117
258	0.644602951	0.9905913117
259	0.6445349999	0.9904118512
260	0.6445350578	0.9904118365
261	0.6445368253	0.9903867905
262	0.6443642772	0.9899606965
263	0.6443112005	0.989854358
264	0.6442989561	0.9898149486
265	0.641852244	0.9885972182
266	0.641852244	0.9885972182
267	0.6418509634	0.9885956923
268	0.6418513488	0.9885710079
269	0.6418513488	0.9885710079
270	0.641845816	0.9884086693
271	0.6420381439	0.9883788387
272	0.6419394261	0.9882297251
273	0.6416582707	0.9878912642
274	0.6415649115	0.9877841551
275	0.6415644546	0.9877837317
276	0.6415627664	0.9877819967
277	0.641563139	0.9877809082
278	0.641563139	0.9877809082
279	0.6409074705	0.987260491
280	0.6408871955	0.9872395036
281	0.6408871955	0.9872395036
282	0.6408871955	0.9872395036
283	0.6409626794	0.9872283311
284	0.6409626794	0.9872283311
285	0.6408829843	0.9869343657
286	0.640880541	0.9868947737
287	0.6408433014	0.9867941111
288	0.6408433014	0.9867941111
289	0.640709452	0.9866470045
290	0.6400030652	0.9860673879
291	0.6400030652	0.9860673879
292	0.6393943508	0.9855617864
293	0.6374306983	0.9837999918
294	0.6350146159	0.9829021459
295	0.6350733723	0.9828155225
296	0.6323244704	0.9811163686
297	0.6313038703	0.9801425323
298	0.6291093912	0.9792346175
299	0.6271086149	0.977988775
300	0.627174396	0.9778881162
301	0.6253082398	0.9764109743
302	0.6249709781	0.9760639448
303	0.6240583368	0.9756292203
304	0.6229731112	0.97467035
305	0.6229874105	0.9746699141
306	0.6214730633	0.9739299809
307	0.6192126309	0.9724698838
308	0.6186903663	0.9720901368
309	0.6184750306	0.9716613003
310	0.6162618876	0.970175794
311	0.6160693214	0.9698967096
312	0.615970393	0.9697560455
313	0.6144404045	0.968724197
314	0.6143823227	0.9685434019
315	0.6142873273	0.9684045495
316	0.6142716079	0.9683661463
317	0.6142213998	0.9683195192
318	0.6118521898	0.9665944356
319	0.6118777041	0.9665580793
320	0.611236978	0.9653972772
321	0.6109325037	0.9649828508
322	0.6103919539	0.9643937772
323	0.6103306097	0.9643001891
324	0.6094452654	0.9631169645
325	0.6080988083	0.9618196516
326	0.6063563079	0.959985644
327	0.6048074651	0.9585534565
328	0.6027837856	0.9569613919
329	0.6012482125	0.9552624206
330	0.5996962583	0.9539255981
331	0.5981040879	0.9527034899
332	0.5966007773	0.9514730603
333	0.5955678841	0.9504567306
334	0.5951428437	0.9499434388
335	0.5941571982	0.9491222007
336	0.5925892652	0.9478831191
337	0.5912748832	0.946710279
338	0.5893989655	0.9455005466
339	0.5887303064	0.9450659462
340	0.5880937602	0.9441676542
341	0.587557297	0.9434342624
342	0.5867066028	0.9421645723
343	0.5855984395	0.9413917006
344	0.5851953221	0.940892617
345	0.584732897	0.9403435001
346	0.5837858126	0.939384494
347	0.5827630261	0.9385732435
348	0.581827839	0.9376397051
349	0.581372918	0.9371359713
350	0.5808192045	0.936432136
351	0.5802294238	0.9358488807
352	0.5791155551	0.9349982548
353	0.5779180059	0.9338673836
354	0.5763414908	0.9325381928
355	0.5759240235	0.9320125365
356	0.5747872833	0.9309646123
357	0.5735303896	0.9301193192
358	0.5726905772	0.9292970558
359	0.571560336	0.9284321492
360	0.5705407796	0.9275766093
361	0.5698100236	0.9269031766
362	0.5687881214	0.925990784
363	0.568513164	0.925664291
364	0.5680197555	0.9250161443
365	0.5674280612	0.9241727723
366	0.5668937153	0.9235472851
367	0.5664177895	0.9230440722
368	0.5660655644	0.9226195295
369	0.5656422734	0.9220303679
370	0.56524038	0.9214954385
371	0.5643588281	0.9209664897
372	0.5641803807	0.9206335743
373	0.5635648494	0.9199908003
374	0.5628266582	0.9191745065
375	0.5622137245	0.9185632389
376	0.5619202718	0.918159433
377	0.5616351165	0.9178636369
378	0.5613361379	0.9174553216
379	0.5607438647	0.9169148928
380	0.5602543514	0.9162698633
381	0.5597552128	0.9155610414
382	0.5595415442	0.9152436259
383	0.5588442518	0.9145391855
384	0.5581434182	0.9138079185
385	0.557698014	0.9131700069
386	0.556889559	0.9125135147
387	0.5565402697	0.912004854
388	0.5559617751	0.9114254853
389	0.5556902296	0.9110825642
390	0.554946332	0.9105206146
391	0.5544271017	0.9099694456
392	0.5537995679	0.9094246565
393	0.5533961933	0.9089033938
394	0.5529648045	0.9083585648
395	0.5526545817	0.9079568997
396	0.5519327156	0.9073674006
397	0.5512491177	0.906773163
398	0.5510034668	0.9064147158
399	0.5507006506	0.9060131873
400	0.5502833714	0.9055013902
401	0.5499354949	0.9050870871
402	0.5495337495	0.9046910535
403	0.5491629616	0.9042350761
404	0.5487341974	0.9036886833
405	0.5481824091	0.9032116678
406	0.5478358048	0.9027122737
407	0.5475524219	0.9023419309
408	0.5473423852	0.9020672
409	0.5471460672	0.9017527434
410	0.5467564936	0.9013083646
411	0.5463343404	0.9007784915
412	0.5460373981	0.9004041841
413	0.5457791682	0.9001654031
414	0.545409645	0.8996946276
415	0.5452419096	0.8992963219
416	0.5450284292	0.8989905029
417	0.5446631443	0.8985152502
418	0.5444244042	0.8981361368
419	0.5441716946	0.8978035717
420	0.5438547984	0.8974033096
421	0.5434585158	0.8970237845
422	0.5431315863	0.8966367824
423	0.5428444414	0.8962801167
424	0.542585794	0.8959729649
425	0.5423105286	0.8956591978
426	0.5420069915	0.8953479193
427	0.5418619011	0.8951570045
428	0.5416852264	0.8948454076
429	0.5412542063	0.8945040911
430	0.5410080303	0.8941645049
431	0.5408005502	0.8938234866
432	0.5405561027	0.8934980415
433	0.5403366052	0.8931997187
434	0.540132602	0.8929260987
435	0.5398520772	0.8925844099
436	0.5396075151	0.8922889914
437	0.5393830151	0.8919962635
438	0.5391911094	0.8916542779
439	0.538987482	0.891373413
440	0.53874101	0.8910517093
441	0.5385411582	0.8907327124
442	0.5382242696	0.8903832053
443	0.5378737258	0.8900776536
444	0.5376314069	0.8898242443
445	0.537454355	0.8895483234
446	0.5372923622	0.889323032
447	0.5370734881	0.8890080106
448	0.5369052866	0.8888164622
449	0.5367094857	0.8885362177
450	0.5364220305	0.8881501494
451	0.536143044	0.8878195885
452	0.5359409624	0.8875168934
453	0.5357216599	0.8872251002
454	0.535617056	0.8869274433
455	0.5354829531	0.8866384341
456	0.5353065154	0.8864163701
457	0.5350825103	0.886040101
458	0.5348070382	0.8857676419
459	0.534602988	0.8854991439
460	0.5344441494	0.8852297459
461	0.5343086183	0.8850408425
462	0.5341165088	0.8847980148
463	0.5338924725	0.8844284255
464	0.5336586823	0.8840841104
465	0.5335229015	0.8838059112
466	0.5333709921	0.8835553048
467	0.5331678577	0.883265603
468	0.532955173	0.8829242534
469	0.5328112923	0.8827107422
470	0.532607323	0.8823926669
471	0.5324723172	0.8821343772
472	0.5322701423	0.8818808593
473	0.5319979638	0.8816186787
474	0.5317375998	0.8812574932
475	0.5315520585	0.8810111782
476	0.5313880471	0.8808243516
477	0.5311693169	0.8805466332
478	0.5309338711	0.8803515185
479	0.5307345185	0.8800985946
480	0.5305173104	0.8799030994
481	0.530428824	0.8796971848
482	0.5301932453	0.8794481268
483	0.5300241385	0.8791863287
484	0.5297888936	0.8788867473
485	0.5296048188	0.8786143958
486	0.5294213725	0.8783124735
487	0.5292103846	0.8780045626
488	0.5290786311	0.8776979867
489	0.5289620289	0.8775414623
490	0.5288467192	0.8773656923
491	0.5285326277	0.8771157033
492	0.5284147218	0.8769206042
493	0.5281924457	0.8766782212
494	0.527958884	0.8764324739
495	0.5277357771	0.8760400154
496	0.5275240083	0.875793032
497	0.5273906173	0.8756231647
498	0.5271951213	0.8754042049
499	0.5269930355	0.8751973285
500	0.526923598	0.8749514893
501	0.5267603257	0.8747012399
502	0.5266155003	0.8744257078
503	0.5264326871	0.8742105636
504	0.5262763093	0.8740131907
505	0.526172076	0.8738222436
506	0.526019875	0.8736372428
507	0.5259157936	0.8734845376
508	0.5258161575	0.8733095698
509	0.5256016129	0.8730699134
510	0.5255167253	0.8729126212
511	0.5253476684	0.8726695295
512	0.5251402704	0.8724189888
513	0.5249818362	0.8722263996
514	0.5248558573	0.8720580487
515	0.5247890483	0.8718178793
516	0.524506561	0.8715270974
517	0.5243533612	0.8713448211
518	0.5241606724	0.8711502657
519	0.5240287986	0.8709811627
520	0.523920973	0.8708466278
521	0.5237714639	0.8706308447
522	0.5236423824	0.870458416
523	0.5234919931	0.8702519629
524	0.5233227372	0.8700378862
525	0.5231938479	0.869860614
526	0.5230660751	0.8696688295
527	0.5228556975	0.8693867888
528	0.5227232723	0.8691936066
529	0.5226432786	0.8690858299
530	0.5225023008	0.8688663709
531	0.5223330749	0.8687091531
532	0.5221077801	0.8684631862
533	0.5219546934	0.8682937024
534	0.5218009816	0.8681037537
535	0.521646165	0.8678752238
536	0.5214804027	0.8676552082
537	0.5213613807	0.8674198542
538	0.521271741	0.867149996
539	0.5211266821	0.8669227551
540	0.5209761699	0.8667401232
541	0.5209226368	0.8666454132
542	0.5207945528	0.866428718
543	0.5206412983	0.8662307423
544	0.5205272716	0.8660638373
545	0.5204169687	0.8658948698
546	0.5202996891	0.8657788576
547	0.5202073237	0.8655525405
548	0.5200957966	0.8653853654
549	0.5199127681	0.8651164715
