,Unnamed: 0,Geolocation_zipcode_prefix,Geolocation_lat,Geolocation_lng,Geolocation_city,Geolocation_state
73,73,1002,-23.54831797807146,-46.63542110199666,sao paulo,SP
74,74,1033,-23.536156075768947,-46.63565005635056,sao paulo,SP
75,75,1048,-23.547052131282804,-46.639477959749584,sao paulo,SP
76,76,1014,-23.546453343326203,-46.63394723397195,sao paulo,SP
77,77,1031,-23.536864121011018,-46.63349313820771,sao paulo,SP
78,78,1029,-23.54130569969415,-46.63285261754857,sao paulo,SP
79,79,1050,-23.54985418067981,-46.643139396906825,sao paulo,SP
80,80,1032,-23.540774688874112,-46.63551484303775,sao paulo,SP
81,81,1031,-23.537304315614183,-46.63386243849112,sao paulo,SP
82,82,1046,-23.54608112703553,-46.64482029837157,sao paulo,SP
83,83,1022,-23.54498660505508,-46.63345367485142,sao paulo,SP
84,84,1008,-23.54425493154535,-46.634639135589296,sao paulo,SP
85,85,1009,-23.54634051373424,-46.63623850320264,sao paulo,SP
86,86,1048,-23.547448918662464,-46.64016924063704,são paulo,SP
87,87,1010,-23.547806958346342,-46.63612181853806,sao paulo,SP
88,88,1020,-23.55253336164808,-46.62960898251487,sao paulo,SP
89,89,1036,-23.541700023861782,-46.64131782056096,sao paulo,SP
90,90,1003,-23.54903244546711,-46.63531311226845,sao paulo,SP
91,91,1013,-23.547325128224376,-46.63418378613892,sao paulo,SP
92,92,1045,-23.54230306549716,-46.64280268887412,sao paulo,SP
93,93,1013,-23.547686322234377,-46.6341397692307,são paulo,SP
94,94,1046,-23.54608112703553,-46.64482029837157,sao paulo,SP
95,95,1046,-23.54612896641469,-46.64295148361138,sao paulo,SP
96,96,1042,-23.544667372468112,-46.64066942714524,são paulo,SP
97,97,1009,-23.54634051373424,-46.63623850320264,sao paulo,SP
98,98,1050,-23.549107326677785,-46.644104604074144,são paulo,SP
99,99,1001,-23.54929199999999,-46.633559478233785,sao paulo,SP
100,100,1026,-23.53984025062037,-46.6302639919499,sao paulo,SP
101,101,1014,-23.54631891978764,-46.63343055730286,sao paulo,SP
102,102,1009,-23.54634051373424,-46.63623850320264,sao paulo,SP
103,103,1043,-23.54501365751052,-46.641993024150246,sao paulo,SP
104,104,1050,-23.549107326677785,-46.644104604074144,são paulo,SP
105,105,1014,-23.54694058084668,-46.633311921420805,sao paulo,SP
106,106,1047,-23.54627311241268,-46.64122516971552,sao paulo,SP
107,107,1032,-23.53701970912921,-46.63435857175824,sao paulo,SP
108,108,1050,-23.550449207051752,-46.64324288827981,sao paulo,SP
109,109,1017,-23.548851827918533,-46.63120714847948,sao paulo,SP
110,110,1015,-23.544826346129778,-46.63086956396899,sao paulo,SP
111,111,1032,-23.53701970912921,-46.63435857175824,sao paulo,SP
112,112,1039,-23.5406861987132,-46.638296449218,sao paulo,SP
113,113,1008,-23.545341492094146,-46.63558668567147,sao paulo,SP
114,114,1005,-23.549819091869107,-46.63560588995324,sao paulo,SP
115,115,1046,-23.546252957116764,-46.64521736309942,sao paulo,SP
116,116,1026,-23.53984025062037,-46.6302639919499,sao paulo,SP
117,117,1045,-23.542925000621707,-46.643423947383695,sao paulo,SP
118,118,1024,-23.54186295323959,-46.63003529431536,sao paulo,SP
119,119,1031,-23.542520789115148,-46.63533516134283,sao paulo,SP
120,120,1014,-23.54676158651283,-46.63345484931019,sao paulo,SP
121,121,1038,-23.54267967629909,-46.63819683884986,sao paulo,SP
122,122,1050,-23.55073674632121,-46.64337116570483,sao paulo,SP
123,123,1016,-23.54849512877264,-46.633490627676125,sao paulo,SP
124,124,1049,-23.54530659310986,-46.636994571065735,sao paulo,SP
125,125,1026,-23.539439503750906,-46.63306386663973,sao paulo,SP
126,126,1016,-23.549283671100515,-46.63148490091751,sao paulo,SP
127,127,1010,-23.546851358078364,-46.63554539392908,sao paulo,SP
128,128,1029,-23.537313618096828,-46.63302994561133,são paulo,SP
129,129,1021,-23.54516769470249,-46.63224867958328,sao paulo,SP
130,130,1018,-23.550218647763327,-46.63188,sao paulo,SP
131,131,1014,-23.54533828642738,-46.63358224756194,sao paulo,SP
132,132,1044,-23.54575105023373,-46.64132693574358,sao paulo,SP
133,133,1034,-23.543343,-46.637777250000006,sao paulo,SP
134,134,1049,-23.547441373853093,-46.63887208826244,sao paulo,SP
135,135,1014,-23.547215717345587,-46.63338619272009,sao paulo,SP
136,136,1050,-23.54985418067981,-46.643139396906825,sao paulo,SP
137,137,1043,-23.544734636418685,-46.64252349042071,sao paulo,SP
138,138,1020,-23.552495528997667,-46.63206,são paulo,SP
139,139,1046,-23.545317917306143,-46.64397479626647,sao paulo,SP
140,140,1050,-23.54880166250217,-46.64237336704375,são paulo,SP
141,141,1035,-23.54043969776091,-46.64371578005073,sao paulo,SP
142,142,1036,-23.54131144157196,-46.64188583152521,sao paulo,SP
143,143,1046,-23.545368575913177,-46.64318283002467,sao paulo,SP
144,144,1046,-23.54675842186512,-46.64577102790114,são paulo,SP
145,145,1048,-23.547154064948906,-46.639547890501504,sao paulo,SP
146,146,1035,-23.5439473297362,-46.63739650167344,sao paulo,SP
147,147,1046,-23.54639669248079,-46.64305934055624,sao paulo,SP
148,148,1044,-23.544896375238064,-46.64201998306312,são paulo,SP
149,149,1045,-23.54275397723474,-46.64148202608349,sao paulo,SP
150,150,1045,-23.54230306549716,-46.64280268887412,sao paulo,SP
151,151,1049,-23.54530659310986,-46.636994571065735,sao paulo,SP
152,152,1019,-23.55188848459232,-46.63008934096028,sao paulo,SP
153,153,1036,-23.54017642681272,-46.64415913591924,sao paulo,SP
154,154,1043,-23.544734636418685,-46.64252349042071,são paulo,SP
155,155,1040,-23.540111706359266,-46.63701681043339,sao paulo,SP
156,156,1048,-23.547052131282804,-46.639477959749584,sao paulo,SP
157,157,1020,-23.55249951067581,-46.630781025535214,sao paulo,SP
158,158,1042,-23.54472059810152,-46.640515568959614,sao paulo,SP
159,159,1050,-23.54880166250217,-46.64237336704375,sao paulo,SP
160,160,1033,-23.5369582492354,-46.63581027505907,sao paulo,SP
161,161,1050,-23.54985418067981,-46.643139396906825,sao paulo,SP
162,162,1024,-23.541389521053937,-46.62989908781218,sao paulo,SP
163,163,1007,-23.549610740492827,-46.63835065445208,sao paulo,SP
164,164,1021,-23.541026814876787,-46.63207068206479,sao paulo,SP
165,165,1050,-23.54885719288482,-46.64186497030983,sao paulo,SP
166,166,1044,-23.54562699916329,-46.64140988467314,sao paulo,SP
167,167,1013,-23.547307871775622,-46.634251279358246,sao paulo,SP
168,168,1014,-23.545948945322863,-46.63350149901904,são paulo,SP
169,169,1037,-23.543883072998984,-46.63807493421437,são paulo,SP
170,170,1026,-23.539167607276784,-46.63524162031853,sao paulo,SP
171,171,1007,-23.54833927782904,-46.63800653788448,sao paulo,SP
172,172,1032,-23.540505663338884,-46.63541486857297,sao paulo,SP
173,173,1046,-23.545047855675463,-46.64317276879801,sao paulo,SP
174,174,1035,-23.54043969776091,-46.64371578005073,sao paulo,SP
175,175,1022,-23.5444976297536,-46.631461751457095,sao paulo,SP
176,176,1030,-23.538363904524203,-46.63293009824575,são paulo,SP
177,177,1046,-23.545165891770928,-46.643785796266464,sao paulo,SP
178,178,1037,-23.546156574239745,-46.63988527422235,sao paulo,SP
179,179,1003,-23.54890065277865,-46.63715701234924,sao paulo,SP
180,180,1032,-23.541853610425484,-46.63513727589531,sao paulo,SP
181,181,1042,-23.544667372468112,-46.64066942714524,sao paulo,SP
182,182,1019,-23.55173348265909,-46.630302710110165,são paulo,SP
183,183,1008,-23.545450466558925,-46.63565673674192,sao paulo,SP
184,184,1003,-23.54904445268046,-46.63518261226844,sao paulo,SP
185,185,1005,-23.54947149598929,-46.63740387774824,sao paulo,SP
186,186,1046,-23.54535489177092,-46.64401432180168,sao paulo,SP
187,187,1042,-23.54472059810152,-46.640515568959614,sao paulo,SP
188,188,1050,-23.548487627243432,-46.640686594090816,sao paulo,SP
189,189,1047,-23.54556122286345,-46.64033874216626,sao paulo,SP
190,190,1050,-23.55073674632121,-46.64337116570483,sao paulo,SP
191,191,1017,-23.55015993031922,-46.63146540189848,sao paulo,SP
192,192,1020,-23.552495528997667,-46.63206,sao paulo,SP
193,193,1005,-23.54875839078997,-46.6384109454671,sao paulo,SP
194,194,1050,-23.54874766250217,-46.64239136704376,sao paulo,SP
195,195,1012,-23.54701177397665,-46.63482872807575,sao paulo,SP
196,196,1030,-23.538399296150907,-46.632887607680814,sao paulo,SP
197,197,1012,-23.54895780599,-46.63455515820299,sao paulo,SP
198,198,1013,-23.546420999999995,-46.63436151110851,sao paulo,SP
199,199,1046,-23.545047855675463,-46.64317276879801,sao paulo,SP
200,200,1046,-23.546817419095163,-46.64537999999999,sao paulo,SP
201,201,1016,-23.54944327061568,-46.63234970260834,são paulo,SP
202,202,1035,-23.54020455565808,-46.64414705704306,sao paulo,SP
203,203,1050,-23.548723167349607,-46.64160299584504,sao paulo,SP
204,204,1026,-23.539167607276784,-46.63524162031853,sao paulo,SP
205,205,1006,-23.5502592536788,-46.63635993588781,sao paulo,SP
206,206,1001,-23.55049770690752,-46.63433817805407,sao paulo,SP
207,207,1048,-23.546537098534216,-46.63917496696296,sao paulo,SP
208,208,1020,-23.551854317790983,-46.62920011656761,sao paulo,SP
209,209,1047,-23.54731074271453,-46.64142302885344,sao paulo,SP
210,210,1033,-23.54294999999996,-46.63529999999997,sao paulo,SP
211,211,1032,-23.5398418758395,-46.63514797691531,são paulo,SP
212,212,1033,-23.54079672248212,-46.63647342862273,sao paulo,SP
213,213,1020,-23.55223547100232,-46.6284406588955,sao paulo,SP
214,214,1002,-23.547416857608702,-46.63636125131286,sao paulo,SP
215,215,1050,-23.54918735221301,-46.644194604074144,são paulo,SP
216,216,1009,-23.54634051373424,-46.63623850320264,são paulo,SP
217,217,1019,-23.551889908967603,-46.63105318887411,sao paulo,SP
218,218,1027,-23.53801519954993,-46.63194741104508,são paulo,SP
219,219,1048,-23.5469081312828,-46.63939590146579,sao paulo,SP
220,220,1046,-23.54608112703553,-46.64482029837157,sao paulo,SP
221,221,1034,-23.542995562878023,-46.63757566934563,sao paulo,SP
222,222,1035,-23.5439473297362,-46.63739650167344,sao paulo,SP
223,223,1050,-23.54985418067981,-46.643139396906825,sao paulo,SP
224,224,1047,-23.54731074271453,-46.64142302885344,sao paulo,SP
225,225,1046,-23.54638197224308,-46.642893706619056,sao paulo,SP
226,226,1045,-23.542487362746503,-46.64293486717402,sao paulo,SP
227,227,1045,-23.54230306549716,-46.64280268887412,sao paulo,SP
228,228,1011,-23.546690486964888,-46.6354469588072,sao paulo,SP
229,229,1044,-23.547276880373964,-46.6399237790698,sao paulo,SP
230,230,1007,-23.55100661977027,-46.6358718820474,sao paulo,SP
231,231,1047,-23.54577819732822,-46.64064024216627,sao paulo,SP
232,232,1029,-23.54056295337295,-46.632850401754254,sao paulo,SP
233,233,1012,-23.54900820122337,-46.63452647668646,sao paulo,SP
234,234,1019,-23.55166351540767,-46.63125415903973,sao paulo,SP
235,235,1001,-23.55064182209015,-46.63440979032252,sao paulo,SP
236,236,1037,-23.543883072998984,-46.63807493421437,sao paulo,SP
237,237,1020,-23.552495528997667,-46.63206,sao paulo,SP
238,238,1041,-23.543712849558617,-46.6402632336835,sao paulo,SP
239,239,1033,-23.54032130474925,-46.636394815973325,sao paulo,SP
240,240,1050,-23.54985418067981,-46.643139396906825,sao paulo,SP
241,241,1025,-23.539920936547933,-46.6283479287932,sao paulo,SP
242,242,1004,-23.550115903139226,-46.63512161420169,sao paulo,SP
243,243,1044,-23.544475407986656,-46.64244051581169,sao paulo,SP
244,244,1050,-23.548723167349607,-46.64160299584504,sao paulo,SP
245,245,1020,-23.552494470713864,-46.631394,sao paulo,SP
246,246,1033,-23.536810801835053,-46.63572116276196,sao paulo,SP
247,247,1026,-23.53889535607948,-46.63545499624909,sao paulo,SP
248,248,1011,-23.546690486964888,-46.6354469588072,sao paulo,SP
249,249,1032,-23.53657098695826,-46.6341731724855,sao paulo,SP
250,250,1033,-23.536859249235395,-46.635793333342896,sao paulo,SP
251,251,1030,-23.537239491257424,-46.63298206549715,sao paulo,SP
252,252,1046,-23.54608112703553,-46.64482029837157,são paulo,SP
253,253,1009,-23.54693540437998,-46.63658792659698,sao paulo,SP
254,254,1042,-23.54415075852622,-46.6412233941082,sao paulo,SP
255,255,1046,-23.54608112703553,-46.64482029837157,sao paulo,SP
256,256,1046,-23.545317917306143,-46.64397479626647,sao paulo,SP
257,257,1023,-23.54260295697964,-46.63094283625709,sao paulo,SP
258,258,1033,-23.54079672248212,-46.63647342862273,sao paulo,SP
259,259,1046,-23.54549529358727,-46.64422479530947,sao paulo,SP
260,260,1046,-23.545368575913177,-46.64318283002467,sao paulo,SP
261,261,1036,-23.54282808353057,-46.63939930668248,sao paulo,SP
262,262,1021,-23.54033745045876,-46.63207306549717,sao paulo,SP
263,263,1049,-23.54530659310986,-46.636994571065735,sao paulo,SP
264,264,1043,-23.545781968088136,-46.641376633648726,sao paulo,SP
265,265,1003,-23.54904445268046,-46.63518261226844,sao paulo,SP
266,266,1030,-23.54203523397196,-46.63296206411218,sao paulo,SP
267,267,1025,-23.540410813203355,-46.631264935195325,sao paulo,SP
268,268,1026,-23.539616057447088,-46.631187497778285,sao paulo,SP
269,269,1021,-23.541832875382298,-46.63214268206478,sao paulo,SP
270,270,1023,-23.541849922557606,-46.6313376895666,sao paulo,SP
271,271,1050,-23.548722622251763,-46.64376241424774,sao paulo,SP
272,272,1019,-23.55166351540767,-46.63125415903973,sao paulo,SP
273,273,1014,-23.547082268784923,-46.63340844117833,sao paulo,SP
274,274,1042,-23.54472059810152,-46.640515568959614,sao paulo,SP
275,275,1009,-23.54693540437998,-46.63658792659698,sao paulo,SP
276,276,1045,-23.54275397723474,-46.64148202608349,sao paulo,SP
277,277,1036,-23.54282808353057,-46.63939930668248,são paulo,SP
278,278,1004,-23.549513091869112,-46.63471930613423,sao paulo,SP
279,279,1035,-23.54043969776091,-46.64371578005073,sao paulo,SP
280,280,1005,-23.549819091869107,-46.63560588995324,sao paulo,SP
281,281,1044,-23.544689343874467,-46.6422237403486,sao paulo,SP
282,282,1008,-23.5452611626464,-46.63554571412088,sao paulo,SP
283,283,1037,-23.54519873979251,-46.63791575103784,sao paulo,SP
284,284,1005,-23.54875839078997,-46.6384109454671,sao paulo,SP
285,285,1032,-23.53701970912921,-46.63435857175824,sao paulo,SP
286,286,1035,-23.5439473297362,-46.63739650167344,sao paulo,SP
287,287,1017,-23.54981334999131,-46.63035027254893,são paulo,SP
288,288,1046,-23.545731279214017,-46.64319919124003,sao paulo,SP
289,289,1014,-23.546065945322862,-46.63347449901905,sao paulo,SP
290,290,1042,-23.54505164917197,-46.64007245239201,são paulo,SP
291,291,1046,-23.54510615208616,-46.64381018541167,sao paulo,SP
292,292,1019,-23.551387491805688,-46.63143237370885,são paulo,SP
293,293,1046,-23.54639669248079,-46.64305934055624,sao paulo,SP
294,294,1050,-23.549847516244395,-46.64562246058632,sao paulo,SP
295,295,1029,-23.543769055769133,-46.63427784085132,sao paulo,SP
296,296,1019,-23.551500510127543,-46.63131236649549,sao paulo,SP
297,297,1013,-23.547686322234377,-46.6341397692307,sao paulo,SP
298,298,1008,-23.5480135387212,-46.63709742838599,sao paulo,SP
299,299,1001,-23.54969829946912,-46.63390859285005,sao paulo,SP
300,300,1034,-23.54196701610017,-46.63707836441802,sao paulo,SP
301,301,1025,-23.54002629316738,-46.62858942838324,sao paulo,SP
302,302,1026,-23.53984025062037,-46.6302639919499,são paulo,SP
303,303,1038,-23.54474047293557,-46.6411292282878,sao paulo,SP
304,304,1016,-23.54849512877264,-46.633490627676125,sao paulo,SP
305,305,1048,-23.547634911449112,-46.641159240637045,sao paulo,SP
306,306,1009,-23.54693540437998,-46.63658792659698,são paulo,SP
307,307,1047,-23.54587978434992,-46.640673717871785,sao paulo,SP
308,308,1036,-23.54017642681272,-46.64415913591924,sao paulo,SP
309,309,1003,-23.548960477927228,-46.63617216180967,sao paulo,SP
310,310,1022,-23.54498660505508,-46.63345367485142,sao paulo,SP
311,311,1030,-23.543326183738223,-46.63336425644875,sao paulo,SP
312,312,1041,-23.543712849558617,-46.6402632336835,sao paulo,SP
313,313,1032,-23.54137740605342,-46.63573484012354,sao paulo,SP
314,314,1041,-23.543539449073783,-46.64057731057763,sao paulo,SP
315,315,1046,-23.546252957116764,-46.64521736309942,sao paulo,SP
316,316,1005,-23.54947149598929,-46.63740387774824,sao paulo,SP
317,317,1014,-23.54463184456696,-46.63393720301238,sao paulo,SP
318,318,1031,-23.542520789115148,-46.63533516134283,sao paulo,SP
319,319,1018,-23.552143145161256,-46.63270720967747,são paulo,SP
320,320,1019,-23.551405529008704,-46.63058033341841,sao paulo,SP
321,321,1007,-23.54816615573512,-46.63823833081751,são paulo,SP
322,322,1012,-23.54799237468981,-46.63463255343638,são paulo,SP
323,323,1042,-23.54415075852622,-46.6412233941082,sao paulo,SP
324,324,1017,-23.54968991921072,-46.63051281086609,sao paulo,SP
325,325,1033,-23.536810801835053,-46.63572116276196,sao paulo,SP
326,326,1001,-23.551426655288804,-46.63407394670785,sao paulo,SP
327,327,1046,-23.545606640313828,-46.64432448652557,sao paulo,SP
328,328,1031,-23.542520789115148,-46.63533516134283,são paulo,SP
329,329,1028,-23.536027749379617,-46.632878533585306,sao paulo,SP
330,330,1046,-23.546817419095163,-46.64537999999999,sao paulo,SP
331,331,1046,-23.54675842186512,-46.64577102790114,sao paulo,SP
332,332,1050,-23.548722622251763,-46.64376241424774,sao paulo,SP
333,333,1030,-23.538418155981304,-46.63292012378098,sao paulo,SP
334,334,1007,-23.54917739938832,-46.63863497209885,sao paulo,SP
335,335,1026,-23.539425401610018,-46.63342428573489,sao paulo,SP
336,336,1042,-23.5440090313636,-46.64149935498296,sao paulo,SP
337,337,1020,-23.55223547100232,-46.6284406588955,sao paulo,SP
338,338,1033,-23.540035348866123,-46.63590402178432,sao paulo,SP
339,339,1040,-23.540384691932537,-46.63746629211154,sao paulo,SP
340,340,1049,-23.547837310577627,-46.64099781196259,sao paulo,SP
341,341,1011,-23.546690486964888,-46.6354469588072,sao paulo,SP
342,342,1022,-23.544714739944567,-46.63316426588382,são paulo,SP
343,343,1046,-23.54608112703553,-46.64482029837157,sao paulo,SP
344,344,1022,-23.54481763780367,-46.63327164210284,sao paulo,SP
345,345,1020,-23.55255548932418,-46.63028152553522,sao paulo,SP
346,346,1050,-23.548722622251763,-46.64376241424774,sao paulo,SP
347,347,1006,-23.54909870413756,-46.63584104801203,sao paulo,SP
348,348,1033,-23.53805926617227,-46.63596154951257,sao paulo,SP
349,349,1046,-23.545368575913177,-46.64318283002467,sao paulo,SP
350,350,1041,-23.54424217208146,-46.63966881349182,sao paulo,SP
351,351,1034,-23.542106542327883,-46.63658202790115,sao paulo,SP
352,352,1046,-23.54612896641469,-46.64295148361138,sao paulo,SP
353,353,1047,-23.54627311241268,-46.64122516971552,sao paulo,SP
354,354,1033,-23.53710682737027,-46.63578266997533,sao paulo,SP
355,355,1036,-23.54045127670386,-46.64357021994927,sao paulo,SP
356,356,1045,-23.541593762969622,-46.64189378810082,sao paulo,SP
357,357,1046,-23.54612896641469,-46.64295148361138,sao paulo,SP
358,358,1046,-23.54659457729816,-46.64303356647811,sao paulo,SP
359,359,1030,-23.53652807216227,-46.63302310545912,sao paulo,SP
360,360,1014,-23.54562569969416,-46.63354191520002,sao paulo,SP
361,361,1046,-23.54608112703553,-46.64482029837157,sao paulo,SP
362,362,1032,-23.54137740605342,-46.63573484012354,são paulo,SP
363,363,1027,-23.53821280045007,-46.63137061449015,sao paulo,SP
364,364,1022,-23.544295438253737,-46.63208112753188,sao paulo,SP
365,365,1028,-23.53624171663104,-46.6320595335853,são paulo,SP
366,366,1046,-23.54608112703553,-46.64482029837157,sao paulo,SP
367,367,1006,-23.55069564418031,-46.63488479003406,sao paulo,SP
368,368,1033,-23.53784452510254,-46.634192025535214,sao paulo,SP
369,369,1048,-23.54718811601936,-46.63958839050152,sao paulo,SP
370,370,1040,-23.54160305551385,-46.63921551887013,sao paulo,SP
371,371,1046,-23.54575827921402,-46.64319019124005,sao paulo,SP
372,372,1049,-23.545052507905847,-46.63682478157995,sao paulo,SP
373,373,1048,-23.54718811601936,-46.63958839050152,sao paulo,SP
374,374,1045,-23.542925000621707,-46.643423947383695,sao paulo,SP
375,375,1026,-23.54001724395527,-46.62974091312255,sao paulo,SP
376,376,1035,-23.541740936176268,-46.641356197760906,são paulo,SP
377,377,1049,-23.54797787399732,-46.64007553774023,sao paulo,SP
378,378,1019,-23.552151883432384,-46.63080224715792,sao paulo,SP
379,379,1035,-23.540983825979165,-46.64256855760085,sao paulo,SP
380,380,1017,-23.54989795585446,-46.63094437636323,sao paulo,SP
381,381,1050,-23.54922662225177,-46.64432041424772,sao paulo,SP
382,382,1027,-23.53801519954993,-46.63194741104508,sao paulo,SP
383,383,1019,-23.551500510127543,-46.63131236649549,sao paulo,SP
384,384,1042,-23.545394591176624,-46.63971870122335,sao paulo,SP
385,385,1029,-23.543769055769133,-46.63427784085132,sao paulo,SP
386,386,1040,-23.539898074383967,-46.6366870320561,são paulo,SP
387,387,1046,-23.54608112703553,-46.64482029837157,sao paulo,SP
388,388,1042,-23.5440090313636,-46.64149935498296,sao paulo,SP
389,389,1041,-23.54320753981771,-46.64090617831388,sao paulo,SP
390,390,1016,-23.54921843682667,-46.63112044738743,sao paulo,SP
391,391,1042,-23.54504537246811,-46.640187927145234,são paulo,SP
392,392,1026,-23.53984025062037,-46.6302639919499,sao paulo,SP
393,393,1026,-23.53925652899767,-46.63316199708581,sao paulo,SP
394,394,1041,-23.54448286788048,-46.63930622647012,sao paulo,SP
395,395,1046,-23.54612896641469,-46.64295148361138,sao paulo,SP
396,396,1046,-23.545083855675458,-46.64316279433324,sao paulo,SP
397,397,1033,-23.540035348866123,-46.63590402178432,sao paulo,SP
398,398,1005,-23.54977002637195,-46.63583891548848,sao paulo,SP
399,399,1041,-23.54349553981771,-46.64052367831388,sao paulo,SP
400,400,1043,-23.54473672162269,-46.64226379961334,sao paulo,SP
401,401,1028,-23.536027749379617,-46.632878533585306,sao paulo,SP
402,402,1022,-23.54779462858564,-46.63023791550086,sao paulo,SP
403,403,1030,-23.543522150989634,-46.6334662636621,sao paulo,SP
404,404,1010,-23.54536151393884,-46.6346895341229,sao paulo,SP
405,405,1036,-23.54282808353057,-46.63939930668248,sao paulo,SP
406,406,1007,-23.55009663558197,-46.637934794477474,sao paulo,SP
407,407,1025,-23.540410813203355,-46.631264935195325,sao paulo,SP
408,408,1020,-23.552359071614003,-46.62912034248948,sao paulo,SP
409,409,1014,-23.54463184456696,-46.63393720301238,sao paulo,SP
