,Seller_id,Seller_zipcode_prefix,Seller_city,Seller_state
50,SELLER_0050,88390,barra velha,SC
51,SELLER_0051,25730,petropolis,RJ
52,SELLER_0052,95500,santo antonio da patrulha,RS
53,SELLER_0053,84010,ponta grossa,PR
54,SELLER_0054,6544,santana de parnaiba,SP
55,SELLER_0055,9121,santo andre,SP
56,SELLER_0056,13568,sao carlos,SP
57,SELLER_0057,6056,osasco,SP
58,SELLER_0058,14940,ibitinga,SP
59,SELLER_0059,5741,sao paulo,SP
60,SELLER_0060,83010,sao jose dos pinhais,PR
61,SELLER_0061,3702,sao paulo,SP
62,SELLER_0062,6429,barueri,SP
63,SELLER_0063,3569,sao paulo,SP
64,SELLER_0064,89207,joinville,SC
65,SELLER_0065,38440,araguari,MG
66,SELLER_0066,32180,contagem,MG
67,SELLER_0067,89258,jaragua do sul,SC
68,SELLER_0068,14940,ibitinga,SP
69,SELLER_0069,9715,sao bernardo do campo,SP
70,SELLER_0070,88501,lages - sc,SC
71,SELLER_0071,95711,bento goncalves,RS
72,SELLER_0072,9400,ribeirao pires,SP
73,SELLER_0073,4726,sao paulo,SP
74,SELLER_0074,14882,jaboticabal,SP
75,SELLER_0075,19830,echapora,SP
76,SELLER_0076,6713,cotia,SP
77,SELLER_0077,89160,rio do sul,SC
78,SELLER_0078,4275,sao paulo,SP
79,SELLER_0079,18040,sorocaba,SP
80,SELLER_0080,21235,rio de janeiro,RJ
81,SELLER_0081,14850,pradopolis,SP
82,SELLER_0082,22420,rio de janeiro,RJ
83,SELLER_0083,1125,sao paulo,SP
84,SELLER_0084,24813,itaborai,RJ
85,SELLER_0085,5786,sao paulo,SP
86,SELLER_0086,15137,mirassol,SP
87,SELLER_0087,16200,birigui,SP
88,SELLER_0088,31730,belo horizonte,MG
89,SELLER_0089,20060,rio de janeiro,RJ
90,SELLER_0090,14940,ibitinga,SP
91,SELLER_0091,12401,sao paulo,SP
92,SELLER_0092,1425,sao paulo,SP
93,SELLER_0093,19803,assis,SP
94,SELLER_0094,13820,jaguariuna,SP
95,SELLER_0095,14801,araraquara,SP
96,SELLER_0096,27963,macae,RJ
97,SELLER_0097,13320,salto,SP
98,SELLER_0098,13504,rio claro,SP
99,SELLER_0099,86039,londrina,PR
100,SELLER_0100,5101,sao paulo,SP
101,SELLER_0101,14010,ribeirao preto,SP
102,SELLER_0102,37410,tres coracoes,MG
103,SELLER_0103,4248,sao paulo,SP
104,SELLER_0104,14940,ibitinga,SP
105,SELLER_0105,3514,sao paulo,SP
106,SELLER_0106,71070,brasilia,DF
107,SELLER_0107,1044,sao paulo,SP
108,SELLER_0108,70384,brasilia,DF
109,SELLER_0109,2310,sao paulo,SP
110,SELLER_0110,2016,sao paulo,SP
111,SELLER_0111,78095,cuiaba,MT
112,SELLER_0112,13575,sao carlos,SP
113,SELLER_0113,1040,sao paulo,SP
114,SELLER_0114,3322,sao paulo,SP
115,SELLER_0115,20261,rio de janeiro,RJ
116,SELLER_0116,85830,formosa do oeste,PR
117,SELLER_0117,23550,rio de janeiro,RJ
118,SELLER_0118,11085,santos,SP
119,SELLER_0119,3417,sao paulo,SP
120,SELLER_0120,76500,santa terezinha de goias,GO
121,SELLER_0121,8260,sao paulo,SP
122,SELLER_0122,95995,arvorezinha,RS
123,SELLER_0123,4674,sao paulo,SP
124,SELLER_0124,14020,ribeirao preto,SP
125,SELLER_0125,36525,guiricema,MG
126,SELLER_0126,95072,caxias do sul,RS
127,SELLER_0127,81030,curitiba,PR
128,SELLER_0128,40243,salvador,BA
129,SELLER_0129,9951,diadema,SP
130,SELLER_0130,8573,itaquaquecetuba,SP
131,SELLER_0131,18682,lencois paulista,SP
132,SELLER_0132,7091,guarulhos,SP
133,SELLER_0133,6341,carapicuiba,SP
134,SELLER_0134,76400,uruacu,GO
135,SELLER_0135,88301,itajai,SC
136,SELLER_0136,3280,sao paulo,SP
137,SELLER_0137,1545,sao paulo,SP
138,SELLER_0138,80620,curitiba,PR
139,SELLER_0139,87900,loanda,PR
140,SELLER_0140,3186,sao paulo,SP
141,SELLER_0141,19400,sao paulo,SP
142,SELLER_0142,2839,sao paulo,SP
143,SELLER_0143,87014,maringa,PR
144,SELLER_0144,1207,sao paulo,SP
145,SELLER_0145,1411,sao paulo,SP
146,SELLER_0146,30190,belo horizonte,MG
147,SELLER_0147,13481,limeira,SP
148,SELLER_0148,11040,santos,SP
149,SELLER_0149,6436,barueri,SP
150,SELLER_0150,2310,sao paulo,SP
151,SELLER_0151,35530,claudio,MG
152,SELLER_0152,14080,ribeirao preto,SP
153,SELLER_0153,24355,niteroi,RJ
154,SELLER_0154,17700,osvaldo cruz,SP
155,SELLER_0155,6380,carapicuiba,SP
156,SELLER_0156,6016,osasco,SP
157,SELLER_0157,24451,sao goncalo,RJ
158,SELLER_0158,88330,balenario camboriu,SC
159,SELLER_0159,4009,sao paulo,SP
160,SELLER_0160,89120,timbo,SC
161,SELLER_0161,14075,ribeirao preto,SP
162,SELLER_0162,5424,sao paulo,SP
163,SELLER_0163,99730,jacutinga,RS
164,SELLER_0164,60440,fortaleza,CE
165,SELLER_0165,7242,guarulhos,SP
166,SELLER_0166,7051,guarulhos,SP
167,SELLER_0167,8517,ferraz de  vasconcelos,SP
168,SELLER_0168,16800,mirandopolis,SP
169,SELLER_0169,89228,joinville,SC
170,SELLER_0170,17056,bauru,SP
171,SELLER_0171,12308,jacarei,SP
172,SELLER_0172,13304,itu,SP
173,SELLER_0173,85301,laranjeiras do sul,SP
174,SELLER_0174,3554,sao paulo,SP
175,SELLER_0175,89560,videira,SC
176,SELLER_0176,88058,florianopolis,SC
177,SELLER_0177,6853,itapecerica da serra,SP
178,SELLER_0178,58280,mamanguape,PB
179,SELLER_0179,8490,sao paulo,SP
180,SELLER_0180,35430,ponte nova,MG
181,SELLER_0181,87360,goioere,SP
182,SELLER_0182,17280,pederneiras,SP
183,SELLER_0183,6653,itapevi,SP
184,SELLER_0184,74563,goiania,GO
185,SELLER_0185,21820,rio de janeiro,RJ
186,SELLER_0186,1026,sao paulo,SP
187,SELLER_0187,3308,sao paulo,SP
188,SELLER_0188,95070,caxias do sul,RS
189,SELLER_0189,58400,campina grande,PB
190,SELLER_0190,93608,estancia velha,RS
191,SELLER_0191,27525,resende,RJ
192,SELLER_0192,89251,jaragua do sul,SC
193,SELLER_0193,2215,sao paulo,SP
194,SELLER_0194,5524,sao paulo,SP
195,SELLER_0195,22790,rio de janeiro,RJ
196,SELLER_0196,8041,sao paulo,SP
197,SELLER_0197,5715,sao paulo,SP
198,SELLER_0198,88032,florianopolis,SC
199,SELLER_0199,18055,sorocaba,SP
200,SELLER_0200,2112,sao paulo,SP
201,SELLER_0201,14075,ribeirao preto,SP
202,SELLER_0202,18048,sorocaba,SP
203,SELLER_0203,9336,maua,SP
204,SELLER_0204,17030,bauru,SP
205,SELLER_0205,17052,bauru,SP
206,SELLER_0206,30620,belo horizonte,MG
207,SELLER_0207,13327,salto,SP
208,SELLER_0208,74343,goiania,GO
209,SELLER_0209,35300,caratinga,MG
210,SELLER_0210,21240,rio de janeiro,RJ
211,SELLER_0211,14407,franca,SP
212,SELLER_0212,16500,cafelandia,SP
213,SELLER_0213,2518,sao paulo,SP
214,SELLER_0214,14050,ribeirao preto,SP
215,SELLER_0215,88730,sao ludgero,SC
216,SELLER_0216,36502,uba,MG
217,SELLER_0217,9751,sao bernardo do campo,SP
218,SELLER_0218,14940,ibitinga,SP
219,SELLER_0219,87035,maringa,PR
220,SELLER_0220,13064,campinas,SP
221,SELLER_0221,21020,rio de janeiro,RJ
222,SELLER_0222,13660,porto ferreira,SP
223,SELLER_0223,95660,tres coroas,RS
224,SELLER_0224,9080,santo andre,SP
225,SELLER_0225,89031,blumenau,SC
226,SELLER_0226,9110,santo andre,SP
227,SELLER_0227,9230,santo andre,SP
228,SELLER_0228,3951,sao paulo,SP
229,SELLER_0229,89070,blumenau,SC
230,SELLER_0230,11013,santos,SP
231,SELLER_0231,15155,jaci,SP
232,SELLER_0232,35530,claudio,MG
233,SELLER_0233,74045,goiania,GO
234,SELLER_0234,18500,laranjal paulista,SP
235,SELLER_0235,18048,sorocaba,SP
236,SELLER_0236,1126,sao paulo,SP
237,SELLER_0237,13478,americana,SP
238,SELLER_0238,2739,sao paulo,SP
239,SELLER_0239,20921,rio de janeiro,RJ
240,SELLER_0240,86170,sertanopolis,SP
241,SELLER_0241,14940,ibitinga,SP
242,SELLER_0242,86808,apucarana,PR
243,SELLER_0243,15046,sao jose do rio preto,SP
244,SELLER_0244,22230,rio de janeiro,RJ
245,SELLER_0245,4102,sao paulo,SP
246,SELLER_0246,16301,penapolis,SP
247,SELLER_0247,24020,niteroi,RJ
248,SELLER_0248,89204,joinville,SC
249,SELLER_0249,83408,colombo,PR
250,SELLER_0250,11450,vicente de carvalho,SP
251,SELLER_0251,26562,mesquita,RJ
252,SELLER_0252,86010,londrina,PR
253,SELLER_0253,88056,florianopolis,SC
254,SELLER_0254,30550,belo horizonte,MG
255,SELLER_0255,2820,sao paulo,SP
256,SELLER_0256,85802,cascavel,PR
257,SELLER_0257,83830,fazenda rio grande,PR
258,SELLER_0258,1550,sao paulo,SP
259,SELLER_0259,22783,rio de janeiro,RJ
260,SELLER_0260,81070,curitiba,PR
261,SELLER_0261,4716,sao paulo,SP
262,SELLER_0262,12233,sao jose dos campos,SP
263,SELLER_0263,7084,guarulhos,SP
264,SELLER_0264,3384,sao paulo,SP
265,SELLER_0265,85903,toledo,PR
266,SELLER_0266,82510,curitiba,PR
267,SELLER_0267,15081,sao jose do rio preto,SP
268,SELLER_0268,8411,sao paulo,SP
269,SELLER_0269,17047,bauru,SP
270,SELLER_0270,11045,santos,SP
271,SELLER_0271,85960,marechal candido rondon,SP
272,SELLER_0272,80010,curitiba,PR
273,SELLER_0273,8710,mogi das cruzes,SP
274,SELLER_0274,91130,porto alegre,RS
275,SELLER_0275,12238,sao jose dos campos,SP
276,SELLER_0276,6236,osasco,SP
277,SELLER_0277,13203,jundiai,SP
278,SELLER_0278,83800,mandirituba,PR
279,SELLER_0279,3551,sao paulo,SP
280,SELLER_0280,8655,suzano,SP
281,SELLER_0281,33200,vespasiano,MG
282,SELLER_0282,80040,curitiba,PR
283,SELLER_0283,1417,sao paulo,SP
284,SELLER_0284,98780,santa rosa,RS
285,SELLER_0285,15015,sao jose do rio preto,SP
286,SELLER_0286,14600,sao joaquim da barra,SP
287,SELLER_0287,5125,sao paulo,SP
288,SELLER_0288,81050,curitiba,PR
289,SELLER_0289,13830,santo antonio de posse,SP
290,SELLER_0290,1212,sao paulo,SP
291,SELLER_0291,97502,uruguaiana,RS
292,SELLER_0292,80215,curitiba,PR
293,SELLER_0293,6703,cotia,SP
294,SELLER_0294,13480,limeira,SP
295,SELLER_0295,37400,campanha,MG
296,SELLER_0296,14940,ibitinga,SP
297,SELLER_0297,4811,sao paulo,SP
298,SELLER_0298,75640,piracanjuba,GO
299,SELLER_0299,3306,sao paulo,SP
300,SELLER_0300,95034,caxias do sul,RS
301,SELLER_0301,30640,belo horizonte,MG
302,SELLER_0302,89701,concordia,SC
303,SELLER_0303,2880,sao paulo,SP
304,SELLER_0304,3688,sao paulo,SP
305,SELLER_0305,37540,santa rita do sapucai,MG
306,SELLER_0306,81925,curitiba,PR
307,SELLER_0307,6246,osasco,SP
308,SELLER_0308,80240,curitiba,PR
309,SELLER_0309,14780,barretos,SP
310,SELLER_0310,26525,nilopolis,RJ
311,SELLER_0311,17580,pompeia,SP
312,SELLER_0312,44895,barro alto,BA
313,SELLER_0313,13840,mogi guacu,SP
314,SELLER_0314,4557,são paulo,SP
315,SELLER_0315,4311,sao paulo,SP
316,SELLER_0316,11702,praia grande,SP
317,SELLER_0317,14406,franca,SP
318,SELLER_0318,22783,rio de janeiro,SP
319,SELLER_0319,89128,luiz alves,SC
320,SELLER_0320,2036,sao paulo,SP
321,SELLER_0321,6038,osasco,SP
322,SELLER_0322,88351,brusque,SC
323,SELLER_0323,88804,criciuma,SC
324,SELLER_0324,5729,sao paulo,SP
325,SELLER_0325,6519,santana de parnaiba,SP
326,SELLER_0326,89222,joinville,SC
327,SELLER_0327,2252,sao paulo,SP
328,SELLER_0328,7179,guarulhos,SP
329,SELLER_0329,31050,belo horizonte,MG
330,SELLER_0330,13480,limeira,SP
331,SELLER_0331,15805,catanduva,SP
332,SELLER_0332,89052,blumenau,SC
333,SELLER_0333,31255,belo horizonte,MG
334,SELLER_0334,15704,jales,SP
335,SELLER_0335,20270,rio de janeiro,RJ
336,SELLER_0336,86060,londrina,PR
337,SELLER_0337,27321,barra mansa,RJ
338,SELLER_0338,5632,sao paulo,SP
339,SELLER_0339,3161,sao paulo,SP
340,SELLER_0340,4782,sao paulo,SP
341,SELLER_0341,14403,franca,SP
342,SELLER_0342,87013,maringa,PR
343,SELLER_0343,9405,ribeirao pires,SP
344,SELLER_0344,2310,sao paulo,SP
345,SELLER_0345,4363,sao paulo,SP
346,SELLER_0346,1539,sao paulo,SP
347,SELLER_0347,13560,sao carlos,SP
348,SELLER_0348,2238,sao paulo,SP
349,SELLER_0349,15055,sao jose do rio preto,SP
350,SELLER_0350,82220,curitiba,PR
351,SELLER_0351,17520,marilia,SP
352,SELLER_0352,3060,sao paulo,SP
353,SELLER_0353,9443,ribeirao pires,SP
354,SELLER_0354,14096,ribeirao preto,SP
355,SELLER_0355,48602,bahia,BA
356,SELLER_0356,91740,porto alegre,RS
357,SELLER_0357,86047,londrina,PR
358,SELLER_0358,12020,taubate,SP
359,SELLER_0359,85802,cascavael,PR
360,SELLER_0360,1320,sao paulo,SP
361,SELLER_0361,12250,monteiro lobato,SP
362,SELLER_0362,81250,curitiba,PR
363,SELLER_0363,7145,guarulhos,SP
364,SELLER_0364,88107,sao jose,SC
365,SELLER_0365,13730,mococa,SP
366,SELLER_0366,18130,sao roque,SP
367,SELLER_0367,37900,passos,MG
368,SELLER_0368,14940,ibitinga,SP
369,SELLER_0369,85603,francisco beltrao,PR
370,SELLER_0370,3821,sao paulo,SP
371,SELLER_0371,36512,tocantins,SP
372,SELLER_0372,76400,uruacu,GO
373,SELLER_0373,87083,maringa,PR
374,SELLER_0374,74473,goiania,GO
375,SELLER_0375,21931,rio de janeiro,RJ
376,SELLER_0376,14055,ribeirao preto,SP
377,SELLER_0377,88210,porto belo,SC
378,SELLER_0378,13105,campinas,SP
379,SELLER_0379,26255,nova iguacu,RJ
380,SELLER_0380,3343,sao paulo,SP
381,SELLER_0381,17512,marilia,SP
382,SELLER_0382,88820,icara,SC
383,SELLER_0383,3543,sao paulo,SP
384,SELLER_0384,95910,lajeado,RS
385,SELLER_0385,3694,sao paulo,SP
386,SELLER_0386,3029,sao paulo,SP
387,SELLER_0387,37540,santa rita do sapucai,MG
388,SELLER_0388,13042,campinas,SP
389,SELLER_0389,1201,sao paulo,SP
390,SELLER_0390,9230,santo andre,SP
391,SELLER_0391,88359,brusque,SC
392,SELLER_0392,98920,horizontina,RS
393,SELLER_0393,4364,sao paulo,SP
394,SELLER_0394,3416,sao paulo,SP
395,SELLER_0395,9350,maua,SP
396,SELLER_0396,1214,sao paulo,SP
397,SELLER_0397,9220,santo andre,SP
398,SELLER_0398,18110,votorantim,SP
399,SELLER_0399,35530,claudio,MG
400,SELLER_0400,93700,campo bom,RS
401,SELLER_0401,3659,sao paulo,SP
402,SELLER_0402,1123,sao paulo,SP
403,SELLER_0403,15910,monte alto,SP
404,SELLER_0404,3103,sao paulo,SP
405,SELLER_0405,14078,ribeirao preto,SP
406,SELLER_0406,15601,fernandopolis,SP
407,SELLER_0407,17500,marilia,SP
408,SELLER_0408,84010,ponta grossa,PR
409,SELLER_0409,7093,guarulhos,SP
410,SELLER_0410,31560,belo horizonte,MG
411,SELLER_0411,86800,apucarana,PR
412,SELLER_0412,88351,brusque,SC
413,SELLER_0413,8550,poa,SP
414,SELLER_0414,3471,sao paulo,SP
415,SELLER_0415,87047,maringa,PR
416,SELLER_0416,82040,curitiba,PR
417,SELLER_0417,15025,sao jose do rio preto,SP
418,SELLER_0418,35500,divinopolis,MG
419,SELLER_0419,13310,itu,SP
420,SELLER_0420,89217,joinville,SC
421,SELLER_0421,13375,mombuca,SP
422,SELLER_0422,9628,sao bernardo do campo,SP
423,SELLER_0423,6539,santana de parnaiba,SP
424,SELLER_0424,81350,curitiba,PR
425,SELLER_0425,14405,franca,SP
426,SELLER_0426,35700,sete lagoas,MG
427,SELLER_0427,37165,campo do meio,MG
428,SELLER_0428,8780,mogi das cruzes,SP
429,SELLER_0429,13219,jundiai,SP
430,SELLER_0430,17509,marilia,SP
431,SELLER_0431,60741,fortaleza,CE
432,SELLER_0432,3311,sao paulo,SP
433,SELLER_0433,13490,cordeiropolis,SP
434,SELLER_0434,38410,uberlandia,MG
435,SELLER_0435,75123,anapolis,GO
436,SELLER_0436,14092,ribeirao preto,SP
437,SELLER_0437,15085,sao jose do rio preto,SP
438,SELLER_0438,4578,sao paulo,SP
439,SELLER_0439,91310,porto alegre,RS
440,SELLER_0440,20756,rio de janeiro,RJ
441,SELLER_0441,1233,sao paulo,SP
442,SELLER_0442,8223,sao paulo,SP
443,SELLER_0443,4782,sao paulo,SP
444,SELLER_0444,83402,colombo,PR
445,SELLER_0445,9920,diadema,SP
446,SELLER_0446,13419,piracicaba,SP
447,SELLER_0447,20021,rio de janeiro,RJ
448,SELLER_0448,18072,sorocaba,SP
449,SELLER_0449,13456,santa barbara d oeste,SP
450,SELLER_0450,13920,pedreira,SP
451,SELLER_0451,86702,arapongas,PR
452,SELLER_0452,27277,volta redonda,SP
453,SELLER_0453,13660,porto ferreira,SP
454,SELLER_0454,89030,blumenau,SC
455,SELLER_0455,6787,taboao da serra,SP
456,SELLER_0456,81830,curitiba,PR
457,SELLER_0457,74210,goiania,GO
458,SELLER_0458,18070,sorocaba,SP
459,SELLER_0459,37580,monte siao,MG
460,SELLER_0460,13073,campinas,SP
461,SELLER_0461,89248,garuva,SC
462,SELLER_0462,38650,bonfinopolis de minas,MG
463,SELLER_0463,13150,cosmopolis,SP
464,SELLER_0464,14092,ribeirao preto,SP
465,SELLER_0465,15800,catanduva,SP
466,SELLER_0466,1215,sao paulo,SP
467,SELLER_0467,24451,sao goncalo,RJ
468,SELLER_0468,4386,sao paulo,SP
469,SELLER_0469,5547,sao paulo,SP
470,SELLER_0470,37706,pocos de caldas,MG
471,SELLER_0471,24725,sao goncalo,RJ
472,SELLER_0472,13160,artur nogueira,SP
473,SELLER_0473,11015,santos,SP
474,SELLER_0474,4209,sao paulo,SP
475,SELLER_0475,30575,belo horizonte,MG
476,SELLER_0476,20520,rio de janeiro,RJ
477,SELLER_0477,58030,joao pessoa,PB
478,SELLER_0478,17300,dois corregos,SP
479,SELLER_0479,89245,araquari,SC
480,SELLER_0480,1220,sao paulo,SP
481,SELLER_0481,90230,porto alegre,RS
482,SELLER_0482,31570,belo horizonte,SP
483,SELLER_0483,36500,uba,MG
484,SELLER_0484,93310,"novo hamburgo, rio grande do sul, brasil",RS
485,SELLER_0485,80330,curitiba,PR
486,SELLER_0486,89218,joinville,SC
487,SELLER_0487,88056,floranopolis,SC
488,SELLER_0488,15155,jaci,SP
489,SELLER_0489,13170,sumare,SP
490,SELLER_0490,83070,sao jose dos pinhais,PR
491,SELLER_0491,9350,maua,SP
492,SELLER_0492,2118,sao paulo,SP
493,SELLER_0493,12242,sao jose dos campos,SP
494,SELLER_0494,29313,cachoeiro de itapemirim,ES
495,SELLER_0495,14150,serrana,SP
496,SELLER_0496,5108,sao paulo,SP
497,SELLER_0497,86604,rolandia,PR
498,SELLER_0498,4360,sao paulo,SP
499,SELLER_0499,23062,rio de janeiro,RJ
500,SELLER_0500,3029,sao paulo,SP
501,SELLER_0501,4054,sao paulo,SP
502,SELLER_0502,36415,congonhas,MG
503,SELLER_0503,15046,sao jose do rio preto,SP
504,SELLER_0504,5537,sao paulo,SP
505,SELLER_0505,12943,atibaia,SP
506,SELLER_0506,6852,itapecerica da serra,SP
507,SELLER_0507,83091,sao  jose dos pinhais,PR
508,SELLER_0508,18035,sorocaba,SP
509,SELLER_0509,18550,boituva,SP
510,SELLER_0510,13405,piracicaba,SP
511,SELLER_0511,3275,sao paulo,SP
512,SELLER_0512,14400,franca,SP
513,SELLER_0513,88495,garopaba,SC
514,SELLER_0514,90010,porto alegre,RS
515,SELLER_0515,17604,tupa,SP
516,SELLER_0516,3612,sao paulo,SP
517,SELLER_0517,5268,sao paulo,SP
518,SELLER_0518,13660,porto ferreira,SP
519,SELLER_0519,3059,sao paulo,SP
520,SELLER_0520,7600,mairipora,SP
521,SELLER_0521,1547,sao paulo,SP
522,SELLER_0522,13041,campinas,SP
523,SELLER_0523,95360,parai,RS
524,SELLER_0524,17700,osvaldo cruz,SP
525,SELLER_0525,37706,pocos de caldas,MG
526,SELLER_0526,28495,aperibe,RJ
527,SELLER_0527,17605,tupa,SP
528,SELLER_0528,80610,curitiba,PR
529,SELLER_0529,18053,sorocaba,SP
530,SELLER_0530,88715,jaguaruna,SC
531,SELLER_0531,86707,arapongas,PR
532,SELLER_0532,26210,nova iguacu,RJ
533,SELLER_0533,8250,sao paulo,SP
534,SELLER_0534,14801,araraquara,SP
535,SELLER_0535,9182,santo andre,SP
536,SELLER_0536,89210,joinville,SC
537,SELLER_0537,13085,campinas,SP
538,SELLER_0538,21070,rio de janeiro,RJ
539,SELLER_0539,7194,guarulhos,SP
540,SELLER_0540,36052,juiz de fora,MG
541,SELLER_0541,23080,rio de janeiro,RJ
542,SELLER_0542,38230,fronteira,MG
543,SELLER_0543,14960,novo horizonte,SP
544,SELLER_0544,18185,pilar do sul,SP
545,SELLER_0545,15840,itajobi,SP
546,SELLER_0546,87050,maringa,PR
547,SELLER_0547,4815,sao paulo,SP
548,SELLER_0548,29142,cariacica / es,ES
549,SELLER_0549,36320,prados,MG
550,SELLER_0550,88020,florianopolis,SC
551,SELLER_0551,13560,sao carlos,SP
552,SELLER_0552,8598,itaquaquecetuba,SP
553,SELLER_0553,62170,mucambo,CE
554,SELLER_0554,83409,colombo,PR
555,SELLER_0555,13504,rio claro,SP
556,SELLER_0556,14940,ibitinga,SP
557,SELLER_0557,95705,bento goncalves,RS
558,SELLER_0558,4041,sao paulo,SP
559,SELLER_0559,12080,taubate,SP
560,SELLER_0560,81210,curitiba,PR
561,SELLER_0561,87050,maringa,PR
562,SELLER_0562,86026,londrina,PR
563,SELLER_0563,1244,sao paulo,SP
564,SELLER_0564,39400,montes claros,MG
565,SELLER_0565,82810,curitiba,PR
566,SELLER_0566,4613,sao paulo,SP
567,SELLER_0567,11701,praia grande,SP
568,SELLER_0568,7152,guarulhos,SP
569,SELLER_0569,92310,canoas,RS
570,SELLER_0570,82510,curitiba,PR
571,SELLER_0571,36570,vicosa,MG
572,SELLER_0572,13090,campinas,SP
573,SELLER_0573,5201,sao paulo,SP
574,SELLER_0574,3126,sao paulo,SP
575,SELLER_0575,21041,rio de janeiro,RJ
576,SELLER_0576,76804,porto velho,RO
577,SELLER_0577,40130,salvador,BA
578,SELLER_0578,13720,sao jose do rio pardo,SP
579,SELLER_0579,32260,contagem,MG
580,SELLER_0580,36301,sao joao del rei,MG
581,SELLER_0581,14091,ribeirao preto,SP
582,SELLER_0582,19042,presidente prudente,SP
583,SELLER_0583,8743,mogi das cruzes,SP
584,SELLER_0584,26600,paracambi,RJ
585,SELLER_0585,13930,serra negra,SP
586,SELLER_0586,15052,sao jose do rio preto,SP
587,SELLER_0587,9541,sao caetano do sul,SP
588,SELLER_0588,1420,sao paulo,SP
589,SELLER_0589,1239,sao paulo,SP
590,SELLER_0590,13820,jaguariuna,SP
591,SELLER_0591,4001,sao paulo,SP
592,SELLER_0592,17051,bauru,SP
593,SELLER_0593,15081,sao jose do rio preto,SP
594,SELLER_0594,9550,sao caetano do sul,SP
595,SELLER_0595,89256,jaragua do sul,SC
596,SELLER_0596,2523,sao paulo,SP
597,SELLER_0597,5462,sao paulo,SP
598,SELLER_0598,83411,colombo,PR
599,SELLER_0599,89069,blumenau,SC
600,SELLER_0600,36010,juiz de fora,SP
601,SELLER_0601,4154,sao paulo,SP
602,SELLER_0602,58385,serra redonda,PB
603,SELLER_0603,14940,ibitinga,SP
604,SELLER_0604,82800,curitiba,PR
605,SELLER_0605,4133,sao paulo,SP
606,SELLER_0606,2851,sao paulo,SP
607,SELLER_0607,89240,sao francisco do sul,SC
608,SELLER_0608,7052,guarulhos,SP
609,SELLER_0609,29104,vila velha,ES
610,SELLER_0610,19010,presidente prudente,SP
611,SELLER_0611,32672,betim,MG
612,SELLER_0612,1303,sao paulo,SP
613,SELLER_0613,4676,sao paulo,SP
614,SELLER_0614,3910,sao paulo,SP
615,SELLER_0615,81200,curitiba,PR
616,SELLER_0616,9411,ribeirao pires,SP
617,SELLER_0617,81070,curitiba,PR
618,SELLER_0618,84430,imbituva,PR
619,SELLER_0619,83280,guaratuba,PR
620,SELLER_0620,91520,porto alegre,SP
621,SELLER_0621,5615,sao paulo,SP
622,SELLER_0622,64033,teresina,PI
623,SELLER_0623,4164,sao paulo,SP
624,SELLER_0624,91360,porto alegre,RS
625,SELLER_0625,14406,franca,SP
626,SELLER_0626,89900,sao miguel d'oeste,SC
627,SELLER_0627,18550,boituva,SP
628,SELLER_0628,12941,atibaia,SP
629,SELLER_0629,12230,sao jose dos campos,SP
630,SELLER_0630,18132,sao roque,SP
631,SELLER_0631,86820,california,PR
632,SELLER_0632,8020,sao paulo,SP
633,SELLER_0633,14802,araraquara,SP
