,Order_id,Payment_sequential,Payment_type,Payment_installments,Payment_value
138,ORDER_11560,1,credit_card,10,379.07
139,ORDER_33561,1,credit_card,10,2027.16
140,ORDER_87428,1,credit_card,1,45.5
141,ORDER_59025,1,credit_card,1,91.17
142,ORDER_41083,1,boleto,1,93.26
143,ORDER_03549,2,voucher,1,30.0
144,ORDER_52179,1,credit_card,10,165.96
145,ORDER_81882,2,voucher,1,50.0
146,ORDER_85637,1,credit_card,10,1002.73
147,ORDER_58229,1,credit_card,2,240.52
148,ORDER_03204,1,credit_card,3,33.13
149,ORDER_35919,1,credit_card,1,213.9
150,ORDER_02471,1,credit_card,8,362.17
151,ORDER_28040,1,credit_card,2,88.72
152,ORDER_77416,1,credit_card,2,46.85
153,ORDER_23810,1,boleto,1,68.54
154,ORDER_32691,1,boleto,1,32.62
155,ORDER_01135,1,credit_card,8,340.08
156,ORDER_50393,1,boleto,1,82.06
157,ORDER_31189,1,credit_card,1,40.95
158,ORDER_10681,1,credit_card,3,67.01
159,ORDER_74972,5,voucher,1,20.0
160,ORDER_46351,2,voucher,1,76.9
161,ORDER_09945,1,credit_card,8,242.1
162,ORDER_73389,1,boleto,1,207.24
163,ORDER_41270,1,credit_card,2,215.56
164,ORDER_39599,1,credit_card,1,39.92
165,ORDER_80599,1,credit_card,8,156.09
166,ORDER_25663,1,credit_card,2,131.5
167,ORDER_70281,1,boleto,1,137.73
168,ORDER_03737,1,credit_card,1,31.75
169,ORDER_86180,1,credit_card,8,348.77
170,ORDER_36603,1,credit_card,12,257.1
171,ORDER_23971,1,credit_card,3,269.46
172,ORDER_07382,1,credit_card,1,40.0
173,ORDER_46162,1,credit_card,10,350.09
174,ORDER_10547,2,credit_card,6,134.55
175,ORDER_67366,1,credit_card,3,112.73
176,ORDER_75335,1,boleto,1,72.05
177,ORDER_63576,1,credit_card,1,0.67
178,ORDER_74576,1,credit_card,2,77.77
179,ORDER_56364,1,credit_card,2,26.68
180,ORDER_09098,1,credit_card,6,225.71
181,ORDER_50092,1,credit_card,3,103.79
182,ORDER_10106,1,boleto,1,65.0
183,ORDER_78154,2,voucher,1,69.8
184,ORDER_86431,2,voucher,1,20.09
185,ORDER_46235,1,credit_card,1,125.41
186,ORDER_79733,1,boleto,1,95.99
187,ORDER_71613,1,credit_card,2,25.33
188,ORDER_53744,1,credit_card,2,145.58
189,ORDER_56566,1,credit_card,3,49.7
190,ORDER_18108,1,credit_card,1,47.43
191,ORDER_48828,1,credit_card,2,168.57
192,ORDER_48675,2,voucher,1,1.23
193,ORDER_56789,1,boleto,1,123.82
194,ORDER_64590,1,credit_card,3,283.66
195,ORDER_36424,1,credit_card,1,89.88
196,ORDER_57661,1,boleto,1,32.38
197,ORDER_36921,1,credit_card,1,43.08
198,ORDER_03602,1,credit_card,1,254.58
199,ORDER_00281,2,voucher,1,48.91
200,ORDER_12495,1,credit_card,4,48.22
201,ORDER_79791,1,credit_card,10,311.18
202,ORDER_01418,1,credit_card,4,154.14
203,ORDER_71465,1,credit_card,2,333.68
204,ORDER_40968,1,boleto,1,404.88
205,ORDER_22474,1,boleto,1,44.77
206,ORDER_52460,1,credit_card,1,186.39
207,ORDER_14427,1,credit_card,10,208.41
208,ORDER_25959,1,debit_card,1,76.39
209,ORDER_31055,1,credit_card,2,67.42
210,ORDER_09053,1,credit_card,4,232.05
211,ORDER_66400,1,boleto,1,69.33
212,ORDER_68315,1,credit_card,3,641.2
213,ORDER_56052,1,boleto,1,41.86
214,ORDER_36132,1,voucher,1,50.0
215,ORDER_12569,1,credit_card,1,106.96
216,ORDER_14166,1,credit_card,10,2288.31
217,ORDER_43326,1,boleto,1,88.08
218,ORDER_47264,1,credit_card,4,117.39
219,ORDER_14546,1,debit_card,1,194.91
220,ORDER_10088,1,credit_card,2,151.51
221,ORDER_48559,1,credit_card,1,54.85
222,ORDER_53137,1,credit_card,1,103.68
223,ORDER_73378,1,debit_card,1,225.63
224,ORDER_07846,1,boleto,1,39.6
225,ORDER_05361,1,credit_card,10,159.18
226,ORDER_78508,1,boleto,1,44.83
227,ORDER_10033,1,credit_card,4,205.44
228,ORDER_32290,1,credit_card,1,13.55
229,ORDER_56265,1,credit_card,1,221.96
230,ORDER_34079,1,credit_card,1,52.38
231,ORDER_79104,1,credit_card,9,131.47
232,ORDER_19740,1,credit_card,2,38.06
233,ORDER_07814,2,voucher,1,35.0
234,ORDER_09380,1,credit_card,3,143.65
235,ORDER_63503,1,credit_card,3,86.73
236,ORDER_51845,1,credit_card,1,341.58
237,ORDER_80551,1,credit_card,2,105.42
238,ORDER_20417,1,credit_card,4,68.16
239,ORDER_26818,1,credit_card,10,357.97
240,ORDER_27716,3,voucher,1,2.99
241,ORDER_86209,1,boleto,1,92.57
242,ORDER_59048,1,credit_card,13,197.23
243,ORDER_34618,1,credit_card,3,153.67
244,ORDER_71302,1,credit_card,4,102.03
245,ORDER_60098,1,credit_card,5,119.45
246,ORDER_13389,1,credit_card,1,44.23
247,ORDER_87248,1,credit_card,1,67.5
248,ORDER_75113,5,voucher,1,8.75
249,ORDER_24463,1,credit_card,2,44.27
250,ORDER_15682,1,credit_card,2,114.13
251,ORDER_09643,1,credit_card,1,396.97
252,ORDER_75806,1,credit_card,10,185.85
253,ORDER_09805,1,credit_card,3,62.11
254,ORDER_48302,1,credit_card,5,153.22
255,ORDER_52282,1,debit_card,1,145.01
256,ORDER_81813,1,boleto,1,70.89
257,ORDER_09924,1,credit_card,6,114.34
258,ORDER_84506,1,credit_card,2,31.38
259,ORDER_59205,1,credit_card,5,256.5
260,ORDER_03802,1,boleto,1,341.4
261,ORDER_81829,1,credit_card,1,143.99
262,ORDER_32896,1,voucher,1,84.88
263,ORDER_86132,1,credit_card,8,232.27
264,ORDER_31754,1,credit_card,5,194.0
265,ORDER_28580,1,credit_card,1,260.57
266,ORDER_64423,1,credit_card,1,49.59
267,ORDER_14201,1,boleto,1,245.94
268,ORDER_11254,2,voucher,1,72.42
269,ORDER_10328,1,credit_card,2,217.15
270,ORDER_02824,1,credit_card,4,152.28
271,ORDER_22848,1,credit_card,3,72.34
272,ORDER_84836,1,credit_card,5,128.95
273,ORDER_59600,1,credit_card,1,56.85
274,ORDER_29101,1,credit_card,1,85.82
275,ORDER_81122,1,boleto,1,56.05
276,ORDER_75133,1,boleto,1,26.09
277,ORDER_02244,1,credit_card,1,41.17
278,ORDER_78689,1,boleto,1,37.25
279,ORDER_82782,1,credit_card,5,477.45
280,ORDER_52315,1,credit_card,1,67.7
281,ORDER_67931,1,boleto,1,168.51
282,ORDER_24206,1,boleto,1,31.86
283,ORDER_43338,1,boleto,1,40.87
284,ORDER_22861,1,credit_card,10,109.59
285,ORDER_31379,1,credit_card,3,206.87
286,ORDER_83826,1,credit_card,1,134.38
287,ORDER_49071,1,credit_card,1,56.06
288,ORDER_22492,1,credit_card,3,264.08
289,ORDER_46413,1,credit_card,10,240.77
290,ORDER_74266,1,credit_card,4,49.01
291,ORDER_11113,1,boleto,1,107.87
292,ORDER_73278,1,credit_card,3,62.01
293,ORDER_33636,1,credit_card,1,36.69
294,ORDER_85194,1,credit_card,3,35.0
295,ORDER_24290,1,credit_card,8,256.37
296,ORDER_77922,1,credit_card,1,47.84
297,ORDER_17321,1,credit_card,5,125.87
298,ORDER_77271,1,credit_card,1,42.39
299,ORDER_07183,1,credit_card,5,117.53
300,ORDER_30530,1,credit_card,4,144.54
301,ORDER_30141,1,boleto,1,126.48
302,ORDER_26436,1,credit_card,4,125.29
303,ORDER_18800,1,credit_card,1,124.6
304,ORDER_11139,1,boleto,1,143.86
305,ORDER_85815,1,voucher,1,56.89
306,ORDER_49489,1,boleto,1,46.78
307,ORDER_24490,8,voucher,1,3.98
308,ORDER_01843,1,credit_card,3,72.66
309,ORDER_55890,1,boleto,1,50.1
310,ORDER_00636,1,boleto,1,85.79
311,ORDER_33099,1,boleto,1,63.7
312,ORDER_10418,1,credit_card,10,1586.47
313,ORDER_73578,1,credit_card,3,433.07
314,ORDER_20959,1,credit_card,10,642.02
315,ORDER_71314,1,credit_card,4,263.95
316,ORDER_56170,1,boleto,1,134.99
317,ORDER_40577,1,credit_card,1,57.89
318,ORDER_83696,1,credit_card,1,383.99
319,ORDER_54529,1,boleto,1,159.31
320,ORDER_70113,1,credit_card,1,756.91
321,ORDER_58273,1,credit_card,7,156.22
322,ORDER_53408,1,credit_card,10,132.95
323,ORDER_29538,1,boleto,1,48.27
324,ORDER_34746,1,credit_card,5,107.35
325,ORDER_51500,1,credit_card,10,110.2
326,ORDER_61543,1,credit_card,8,368.92
327,ORDER_65109,1,boleto,1,106.85
328,ORDER_20391,1,credit_card,8,281.5
329,ORDER_40053,1,credit_card,5,121.78
330,ORDER_03002,1,credit_card,2,102.26
331,ORDER_79051,1,boleto,1,75.69
332,ORDER_34075,1,debit_card,1,42.86
333,ORDER_70501,1,credit_card,1,35.7
334,ORDER_37474,1,credit_card,10,444.25
335,ORDER_23928,1,credit_card,1,69.16
336,ORDER_10550,2,voucher,1,30.0
337,ORDER_65582,1,credit_card,2,65.71
338,ORDER_73316,1,credit_card,1,29.29
339,ORDER_22119,1,credit_card,1,37.74
340,ORDER_55195,2,voucher,1,30.0
341,ORDER_06520,1,credit_card,2,145.9
342,ORDER_22360,1,credit_card,1,79.88
343,ORDER_67882,1,credit_card,5,108.0
344,ORDER_24527,1,credit_card,6,348.74
345,ORDER_01632,1,credit_card,6,88.78
346,ORDER_73252,1,credit_card,6,125.77
347,ORDER_78485,1,credit_card,3,64.05
348,ORDER_15422,1,boleto,1,127.69
349,ORDER_18893,1,credit_card,1,62.42
350,ORDER_83598,1,credit_card,5,55.69
351,ORDER_51811,1,credit_card,7,146.13
352,ORDER_82432,1,credit_card,5,349.99
353,ORDER_08661,1,credit_card,1,91.28
354,ORDER_60644,1,boleto,1,108.64
355,ORDER_00187,1,credit_card,1,20.75
356,ORDER_28599,1,boleto,1,72.9
357,ORDER_54469,1,credit_card,3,543.83
358,ORDER_72646,1,credit_card,2,67.12
359,ORDER_69062,1,credit_card,6,139.07
360,ORDER_53015,1,boleto,1,126.68
361,ORDER_48479,1,credit_card,1,41.42
362,ORDER_63316,1,credit_card,8,540.02
363,ORDER_69710,1,boleto,1,368.6
364,ORDER_31440,1,credit_card,4,107.78
365,ORDER_54387,1,credit_card,10,387.27
366,ORDER_07976,1,credit_card,2,101.25
367,ORDER_86355,1,credit_card,1,26.09
368,ORDER_73074,1,boleto,1,244.35
369,ORDER_61126,1,credit_card,10,117.85
370,ORDER_30477,1,credit_card,3,171.32
371,ORDER_67477,1,credit_card,10,202.44
372,ORDER_72439,1,boleto,1,73.03
373,ORDER_80954,1,credit_card,4,264.67
374,ORDER_64445,1,credit_card,1,68.7
375,ORDER_12973,1,boleto,1,55.13
376,ORDER_78155,1,credit_card,2,92.99
377,ORDER_39895,1,credit_card,3,36.0
378,ORDER_75485,1,credit_card,1,17.87
379,ORDER_48428,1,credit_card,1,58.38
380,ORDER_79181,2,voucher,1,50.0
381,ORDER_12579,1,credit_card,10,1995.69
382,ORDER_24349,1,credit_card,3,130.14
383,ORDER_75290,1,boleto,1,710.23
384,ORDER_67753,1,credit_card,1,68.0
385,ORDER_34927,1,credit_card,5,59.51
386,ORDER_37277,1,credit_card,5,371.94
387,ORDER_21128,1,credit_card,10,667.99
388,ORDER_36607,1,credit_card,1,63.89
389,ORDER_01942,1,credit_card,1,354.64
390,ORDER_40294,1,credit_card,4,59.71
391,ORDER_47591,1,credit_card,8,408.66
392,ORDER_46800,1,credit_card,5,51.66
393,ORDER_43601,1,credit_card,2,386.46
394,ORDER_66432,1,credit_card,2,69.54
395,ORDER_58201,1,credit_card,1,21.94
396,ORDER_57959,1,credit_card,1,52.34
397,ORDER_18486,1,credit_card,1,114.25
398,ORDER_24253,1,credit_card,2,162.83
399,ORDER_82442,1,credit_card,1,172.92
400,ORDER_78377,1,credit_card,7,81.72
401,ORDER_78913,1,credit_card,4,243.62
402,ORDER_38186,1,boleto,1,56.42
403,ORDER_44402,1,credit_card,4,45.13
404,ORDER_85078,1,boleto,1,108.64
405,ORDER_16360,1,credit_card,4,64.51
406,ORDER_37942,1,credit_card,8,193.5
407,ORDER_27918,1,credit_card,1,41.71
408,ORDER_01007,1,credit_card,1,54.43
409,ORDER_40395,1,credit_card,3,77.64
410,ORDER_79174,1,boleto,1,280.08
411,ORDER_68294,1,credit_card,5,101.34
412,ORDER_24912,1,credit_card,1,77.57
413,ORDER_33781,1,credit_card,4,60.2
414,ORDER_43718,1,boleto,1,48.1
415,ORDER_43365,1,boleto,1,76.02
416,ORDER_57901,1,credit_card,2,84.56
417,ORDER_01559,2,voucher,1,20.0
418,ORDER_12644,1,debit_card,1,265.41
419,ORDER_35611,1,credit_card,5,127.53
420,ORDER_39355,1,credit_card,2,128.73
421,ORDER_21790,1,credit_card,5,150.15
422,ORDER_33629,1,credit_card,2,36.16
423,ORDER_63726,1,credit_card,4,198.0
424,ORDER_33067,1,credit_card,5,112.4
425,ORDER_02322,1,credit_card,1,35.4
426,ORDER_02628,1,credit_card,6,189.98
427,ORDER_66055,1,credit_card,2,228.6
428,ORDER_11897,1,credit_card,8,314.21
429,ORDER_12316,1,credit_card,1,22.29
430,ORDER_46417,1,credit_card,8,257.3
431,ORDER_17348,1,credit_card,6,162.99
432,ORDER_85214,1,credit_card,12,190.09
433,ORDER_56111,1,credit_card,5,53.15
434,ORDER_17857,1,credit_card,2,88.2
435,ORDER_37699,2,voucher,1,25.9
436,ORDER_47880,1,credit_card,1,46.81
437,ORDER_58316,1,boleto,1,131.47
438,ORDER_47363,1,credit_card,3,258.71
439,ORDER_78512,1,credit_card,1,84.23
440,ORDER_04091,1,credit_card,10,156.73
441,ORDER_34241,1,boleto,1,69.9
442,ORDER_43844,1,boleto,1,48.13
443,ORDER_78381,1,credit_card,6,187.15
444,ORDER_63787,1,credit_card,3,69.99
445,ORDER_22256,1,credit_card,2,162.1
446,ORDER_17869,1,credit_card,1,57.11
447,ORDER_31200,1,credit_card,1,154.87
448,ORDER_74315,1,credit_card,4,236.81
449,ORDER_58370,1,credit_card,1,102.53
450,ORDER_75096,1,credit_card,3,65.1
451,ORDER_75560,1,boleto,1,93.64
452,ORDER_86067,1,boleto,1,64.09
453,ORDER_26087,1,credit_card,5,279.4
454,ORDER_83145,1,credit_card,5,205.43
455,ORDER_51253,1,credit_card,4,89.57
456,ORDER_40534,1,boleto,1,75.07
457,ORDER_11275,1,credit_card,4,63.23
458,ORDER_21966,1,credit_card,1,0.52
459,ORDER_43215,1,credit_card,10,231.27
460,ORDER_21866,1,boleto,1,41.69
461,ORDER_40402,1,credit_card,4,69.41
462,ORDER_02554,1,credit_card,1,72.75
463,ORDER_64701,1,credit_card,5,88.49
464,ORDER_58640,1,credit_card,7,71.66
465,ORDER_72011,1,credit_card,2,80.81
466,ORDER_62051,1,credit_card,7,394.07
467,ORDER_27667,1,credit_card,2,165.5
468,ORDER_01366,1,credit_card,2,49.77
469,ORDER_19006,1,credit_card,8,180.91
470,ORDER_48586,1,credit_card,4,40.63
471,ORDER_33344,1,debit_card,1,71.63
472,ORDER_01683,1,credit_card,5,262.94
473,ORDER_50572,1,credit_card,3,62.22
474,ORDER_76601,1,credit_card,5,311.57
475,ORDER_48069,1,debit_card,1,93.22
476,ORDER_66157,1,boleto,1,100.21
477,ORDER_68391,1,credit_card,4,125.43
478,ORDER_37089,1,boleto,1,80.55
479,ORDER_08407,1,credit_card,2,373.44
480,ORDER_53817,1,credit_card,3,62.31
481,ORDER_29376,1,debit_card,1,36.35
482,ORDER_10521,1,credit_card,2,29.38
483,ORDER_43875,1,credit_card,10,102.47
484,ORDER_20661,1,credit_card,3,130.0
485,ORDER_86683,1,credit_card,5,69.13
486,ORDER_19731,1,credit_card,1,86.24
487,ORDER_12301,1,credit_card,1,74.29
488,ORDER_13263,1,credit_card,7,70.72
489,ORDER_50761,1,credit_card,3,199.0
490,ORDER_66719,1,credit_card,4,48.74
491,ORDER_14703,1,credit_card,2,28.08
492,ORDER_82486,1,voucher,1,59.9
493,ORDER_76722,1,credit_card,1,166.29
494,ORDER_45438,1,boleto,1,51.1
495,ORDER_11391,1,credit_card,1,67.83
496,ORDER_45553,1,credit_card,3,164.35
497,ORDER_35123,1,boleto,1,79.09
498,ORDER_08510,1,credit_card,2,59.82
499,ORDER_42848,1,credit_card,3,159.03
500,ORDER_33729,1,credit_card,9,92.57
501,ORDER_06415,1,credit_card,8,453.74
502,ORDER_52886,1,credit_card,3,234.08
503,ORDER_81060,1,credit_card,2,67.62
504,ORDER_07421,1,credit_card,1,19.33
505,ORDER_65252,1,credit_card,3,143.18
506,ORDER_12852,1,boleto,1,85.92
507,ORDER_68822,1,credit_card,4,102.05
508,ORDER_53753,1,credit_card,3,134.12
509,ORDER_82665,1,credit_card,1,112.13
510,ORDER_53175,1,credit_card,1,70.75
511,ORDER_21093,1,credit_card,7,77.6
512,ORDER_42221,1,credit_card,1,197.04
513,ORDER_85577,1,credit_card,1,93.18
514,ORDER_23506,1,boleto,1,44.72
515,ORDER_65539,1,credit_card,1,26.38
516,ORDER_52829,1,debit_card,1,149.14
517,ORDER_50101,1,credit_card,4,106.32
518,ORDER_30660,1,credit_card,8,246.96
519,ORDER_80567,1,credit_card,1,22.29
520,ORDER_68143,1,credit_card,3,57.48
521,ORDER_11476,1,credit_card,4,105.28
522,ORDER_38624,1,credit_card,8,203.54
523,ORDER_66408,1,credit_card,2,330.4
524,ORDER_35466,1,boleto,1,108.68
525,ORDER_00789,1,boleto,1,415.93
526,ORDER_86321,1,credit_card,10,314.21
527,ORDER_56488,1,credit_card,1,206.08
528,ORDER_18253,1,credit_card,1,27.7
529,ORDER_28403,1,boleto,1,19.48
530,ORDER_65876,1,credit_card,2,121.09
531,ORDER_31722,1,credit_card,1,206.76
532,ORDER_57381,1,credit_card,1,142.21
533,ORDER_27656,1,boleto,1,73.34
534,ORDER_71311,1,credit_card,1,72.62
535,ORDER_64831,1,credit_card,1,86.24
536,ORDER_80168,1,boleto,1,230.1
537,ORDER_36580,1,boleto,1,212.73
538,ORDER_87429,1,credit_card,1,94.82
539,ORDER_28760,1,boleto,1,126.44
540,ORDER_59434,2,voucher,1,140.08
541,ORDER_60178,1,credit_card,1,68.87
542,ORDER_55036,1,credit_card,2,87.58
543,ORDER_35351,1,credit_card,10,305.19
544,ORDER_56810,1,credit_card,5,161.88
545,ORDER_31604,1,debit_card,1,88.08
546,ORDER_68451,1,credit_card,3,92.5
547,ORDER_88019,1,credit_card,1,43.0
548,ORDER_06353,1,credit_card,2,116.36
549,ORDER_83802,1,boleto,1,64.48
550,ORDER_62507,1,boleto,1,37.69
551,ORDER_58722,1,credit_card,2,150.52
552,ORDER_06026,1,credit_card,8,396.35
553,ORDER_16198,2,debit_card,1,98.33
554,ORDER_63779,1,credit_card,1,120.92
555,ORDER_00435,1,credit_card,1,76.17
556,ORDER_27103,1,credit_card,1,104.43
557,ORDER_55797,1,credit_card,3,110.04
558,ORDER_64865,1,boleto,1,730.95
559,ORDER_05928,1,credit_card,8,82.1
560,ORDER_07133,1,boleto,1,53.39
561,ORDER_87684,1,credit_card,3,61.79
562,ORDER_16846,1,boleto,1,86.83
563,ORDER_14032,1,credit_card,1,25.5
564,ORDER_63968,2,voucher,1,103.79
565,ORDER_09567,1,credit_card,6,114.28
566,ORDER_69142,1,credit_card,2,57.78
567,ORDER_60182,1,credit_card,1,124.15
568,ORDER_29500,1,credit_card,3,64.1
569,ORDER_40317,1,credit_card,10,179.92
570,ORDER_13301,1,boleto,1,40.01
571,ORDER_23435,1,credit_card,5,104.27
572,ORDER_60279,1,credit_card,8,307.96
573,ORDER_28413,1,credit_card,2,31.29
574,ORDER_26133,1,credit_card,1,38.13
575,ORDER_72783,1,voucher,1,52.01
576,ORDER_24819,1,credit_card,1,35.05
577,ORDER_43154,1,credit_card,8,186.49
578,ORDER_43384,1,credit_card,4,99.95
579,ORDER_35975,1,credit_card,4,215.62
580,ORDER_88063,1,credit_card,3,206.2
581,ORDER_22242,1,boleto,1,55.06
582,ORDER_66011,1,credit_card,1,21.04
583,ORDER_61987,1,credit_card,1,26.45
584,ORDER_87024,1,credit_card,1,127.53
585,ORDER_80823,1,credit_card,10,223.14
586,ORDER_58052,1,credit_card,2,56.41
587,ORDER_69335,1,boleto,1,566.63
588,ORDER_62372,1,credit_card,6,148.64
589,ORDER_32536,1,credit_card,4,64.0
590,ORDER_71749,1,credit_card,3,151.09
591,ORDER_01300,1,boleto,1,93.91
592,ORDER_65150,1,credit_card,2,71.14
593,ORDER_09629,1,credit_card,3,188.06
594,ORDER_34897,1,credit_card,8,181.1
595,ORDER_54549,1,boleto,1,202.26
596,ORDER_38771,1,credit_card,3,164.15
597,ORDER_48975,1,credit_card,10,137.13
598,ORDER_02558,1,credit_card,1,2.01
599,ORDER_73364,1,boleto,1,272.58
600,ORDER_21471,1,credit_card,4,87.36
601,ORDER_79690,5,voucher,1,16.54
602,ORDER_63780,1,credit_card,4,234.19
603,ORDER_64454,1,boleto,1,33.0
604,ORDER_25968,1,credit_card,1,10.89
605,ORDER_74948,1,credit_card,4,84.14
606,ORDER_33268,1,boleto,1,43.28
607,ORDER_01625,1,credit_card,1,47.95
608,ORDER_71603,1,boleto,1,76.08
609,ORDER_55249,1,boleto,1,104.37
610,ORDER_81293,1,credit_card,1,69.61
